wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n11129130	bn:00002403n	n	Lerner, Alan_Jay_Lerner	a._j._lerner, alan_j._lerner, alan_j_lerner, alan_jay_lerner, alan_lerner, lerner	United States lyricist who collaborated on musicals with Frederick Loewe (1918-1986)	0.225	11	7
a02252352	bn:00096108a	a	a_cappella	a_capela	sung without instrumental accompaniment	1.0	99	99
n07036768	bn:00047165n	n	Internationale	a_internacional, la_internacional	a revolutionary socialist anthem	0.18	5	8
n15264363	bn:00060099n	n	tempo, pacing	a_tempo, aire, movimiento, tempo_musical, tempos, tempi, tempo, tiempo_musical, tiempo	(music) the speed at which a composition is to be played	0.764	7	5
n10909929	bn:00000188n	n	Copland, Aaron_Copland	aaron_copland	United States composer who developed a distinctly American music (1900-1990)	0.349	12	8
n06871983	bn:00000688n	n	grace_note, appoggiatura, acciaccatura	acciaccatura, apoyatura, grace, nota_de_la_tolerancia, quiebro	an embellishing note usually written in smaller size	0.706	8	8
n06867345	bn:00000693n	n	accidental	accidental, accidente, alteracion_musical, alteración, alteración_musical	a musical notation that makes a note sharp or flat or natural although that is not part of the key signature	0.622	7	7
n09760913	bn:00000720n	n	accompanist, accompanyist	accompanyist, acompañante	a person who provides musical accompaniment (usually on a piano)	0.919	11	7
n00320625	bn:00073870n	n	stalk, stalking	acecho, rececho	the act of following prey stealthily	1.0	11	9
n07065562	bn:00000912n	n	psychedelic_rock, acid_rock	acid_rock, blues_acido, pop_psicodelico, psychedelic_rock, rock_acido, rock_psicodelico, rock_ácido, blues_ácido, pop_psicodélico, rock_psicodélico	a musical style that emerged in the 1960s; rock music inspired by or related to drug-induced experience	0.797	4	7
n10741821	bn:00042104n	n	usher, guide	acomodador, usher, guía	someone employed to conduct others	0.571	12	8
n10742005	bn:00079375n	n	usherette	acomodadora, acomodador, ujier	a female usher	0.083	13	9
v01728355	bn:00082223v	v	play_along, accompany, follow	acompañar	perform an accompaniment to	0.75	99	99
n06869610	bn:00005858n	n	arpeggio	acorde_quebrado, arpeggio, arpegios, arpegio	a chord whose notes are played in rapid succession rather than simultaneously	0.771	9	9
n02672831	bn:00000732n	n	accordion, piano_accordion, squeeze_box	acordeon_a_piano, acordeones, acordeon, acordeón, acordeón_a_piano	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	0.454	13	9
n09761310	bn:00000734n	n	accordionist	acordeonista	a musician who plays the accordion	0.457	11	7
n04635482	bn:00029299n	n	dynamism, pizzazz, pizzaz, oomph, zing	actividad, dinamismo, marcha, pizzaz, energía, animación	the activeness of an energetic personality	0.333	7	5
n00100253	bn:00056467n	n	musical_performance	actuación_musical	the act of performing music	1.0	11	9
n07047804	bn:00001237n	n	adagio	adagio	(music) a composition played in adagio tempo (slowly and gracefully)	0.764	2	6
n00084371	bn:00001495n	n	borrowing, adoption	adopción	the appropriation (of ideas or words etc) from another source	0.034	9	7
n03282401	bn:00030473n	n	embellishment	adorno, embellecimiento, ornamento_musical, ornamento	a superfluous ornament	0.714	10	6
n00048828	bn:00001564n	n	advent, coming	advenimiento, venida	arrival that has been awaited (especially of something momentous)	0.333	10	8
n09776186	bn:00001695n	n	aerophile	aerophile, aerófilo	a lover of aviation	0.333	10	6
n04419642	bn:00076846n	n	theremin	aetherophone, ceremin, eterofono, teremin, termometro, thereminista, thereminvox, theremin, ceremín, teremín, theremín, théremin, eterófono, théreminvox	an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing	0.504	13	9
n06693655	bn:00042676n	n	hallelujah	aeuia, aleluya, alleluia, hallelujah, halleluyah, congratulación	a shout or song of praise to God	0.188	10	8
n10077593	bn:00013648n	n	fan, buff, devotee, lover	aficionada, aficionado, amante, amiga, amigo, apasionada, apasionado, devota, devoto, entusiasta, fanática, fanático	an ardent follower and admirer	0.75	9	5
n09776807	bn:00001806n	n	aficionado	aficionado	a serious devotee of some particular music genre or musical performer	0.667	10	6
r00050075	bn:00116607r	r	shrilly, piercingly	afiladamente, agudamente, chillonamente, de_manera_chillona, estridentemente, filosamente	in a shrill voice	1.0	99	99
v00483656	bn:00090079v	v	key	afinar	regulate the musical pitch of	1.0	99	99
a01921639	bn:00109594a	a	reedy, wheezy	aflautado	having a tone of a reed instrument	1.0	99	99
n07008544	bn:00001879n	n	afterpiece	afterpiece	a brief dramatic piece (usually comic) presented after a play	0.182	11	7
v01880888	bn:00088272v	v	flap	agitar, ondear	move noisily	*1.0	99	99
