wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n07086518	bn:00009396n	n	rhythm, beat, musical_rhythm	agogica, cadencia, celulas_ritmicas, metro, pulso, ritmicos, ritmica, ritmico, ritmo_musical, ritmos, ritmo, tiempo, compás, agógica, rítmica, rítmico, rítmicos, células_rítmicas	the basic rhythmic unit in a piece of music	0.544	7	5
n08188638	bn:00018665n	n	choir	agrupacion_coral, canto_coral, conjunto_vocal, coral, coreuta, coro_mixto, coros, coro, orfeon, orfeón, խմբերգ, agrupación_coral	a chorus that sings as part of a religious ceremony	0.637	9	7
n08246613	bn:00056461n	n	musical_organization, musical_organisation, musical_group	agrupacion_musical, conjunto_musical, ensemble_musical, ensemble, grupo_de_musica, grupo_musical, grupo_de_música, agrupación_musical	an organization of musicians who perform together	0.898	7	5
a01214430	bn:00110516a	a	shrill, sharp	aguda, agudo, estridente, penetrante	having or emitting a high-pitched and sharp tone or tones	1.0	99	99
v00393398	bn:00093582v	v	sharpen	agudizar	raise the pitch of (musical notes)	1.0	99	99
n04346679	bn:00074845n	n	stylus	aguja, estilete	a sharp pointed device attached to the cartridge of a record player	0.037	11	7
n04727214	bn:00002187n	n	air, aura, atmosphere	aire, aura	a distinctive but intangible quality surrounding a person or thing	0.779	6	4
n07028373	bn:00002191n	n	tune, melody, air, strain, melodic_line, line, melodic_phrase	aire, cuerda, linea_melodica, tonada, ton, línea, melodía, línea_melódica	a succession of notes forming a distinctive sequence	0.657	1	5
n10846089	bn:00002438n	n	Berg, Alban_Berg	alban_berg, alban_maria_johannes_berg	Austrian composer in Schoenberg's twelve-tone music system (1885-1935)	0.424	12	8
a01921466	bn:00109380a	a	rackety, rip-roaring, uproarious	alborotador	uncontrollably noisy	1.0	99	99
v02172008	bn:00092295v	v	racket	alborotar	make loud and annoying noises	1.0	99	99
n07385660	bn:00013385n	n	hubbub, uproar, brouhaha, katzenjammer	alboroto, barahunda, batahola, bullicio, gresca, grita, guachafita, guirigay, jaleo, rebullicio, tole, zurriburri, algarabía, greguería	loud confused noise from many sources	1.0	9	7
n13977366	bn:00021212n	n	disturbance, disruption, commotion, flutter, hurly_burly, to-do, hoo-ha, hoo-hah, kerfuffle	alboroto, barrila, bullicio, cacao, descalzaperros, disturbios, disturbio, encargos, kerfuffle, movida, pendientes, quehacer, revoloteo, ruido, ruptura, sarao, tomate, trapisonda, trastorno, tumulto, lío, agitación, confusión, conmoción, perturbación	a disorderly outburst or tumult	0.8	7	5
n06591815	bn:00002488n	n	album, record_album	album, disco_de_estudio, disco_musical, discos_de_estudio, álbum, álbumes, álbum_musical, álbum_de_música, álbum_de_estudio, álbum_discográfico, álbumes_de_estudio	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc	0.589	11	7
n06592078	bn:00021548n	n	concept_album	album_conceptual, albumes_conceptuales, disco_conceptual, discos_conceptuales, álbum_conceptual, álbumes_conceptuales	an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional)	0.789	12	8
n03694639	bn:00049539n	n	LP, L-P	album_lp, disco_de_larga_duracion, disco_larga_duracion, discos_de_larga_duracion, grabaciones_de_larga_duracion, larga_duracion, long_plays, long_play, lp, elepé, álbum_lp, larga_duración, disco_larga_duración, disco_de_larga_duración, discos_de_larga_duración, grabaciones_de_larga_duración	a long-playing phonograph record; designed to be played at 33.3 rpm	0.623	15	11
n06592421	bn:00009907n	n	tribute_album, benefit_album	álbum_tributo, álbum_homenaje	concept album compiling a performer's work or work supporting some worthy cause	0.868	13	9
n05125377	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	alcance, esfera, extension, marco, rango, ámbito, extensión	an area in which something acts or operates or has power or control: "the range of a supersonic jet"	0.681	8	6
n07039949	bn:00002826n	n	allegretto	alegreto	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro	0.767	2	6
n15264891	bn:00002825n	n	allegretto	alegreto, allegretto	a quicker tempo than andante but not as fast as allegro	1.0	8	6
n15265021	bn:00002827n	n	allegro	alegro, allegro	a brisk and lively tempo	1.0	8	6
n10858333	bn:00002571n	n	Borodin, Aleksandr_Borodin, Aleksandr_Porfirevich_Borodin	alejandro_borodin, aleksandr_borodin, aleksandr_porfirevich_borodin, aleksandr_porfirievich_borodin, alexander_borodin, alexandr_borodine, alexandr_borodin, alexandre_borodine, borodin, alexandr_borodín, alejandro_borodín, aleksandr_borodín, alexander_borodín, alexánder_borodín, aleksandr_porfírievich_borodín	Russian composer (1833-1887)	0.339	12	8
n11289830	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	aleksandr_nikolayevich_scriabin, aleksandr_scriabin, aleksandr_skriabin, alexander_nikolaievich_scriabin, alexander_scriabin, alexandr_nikolaievich_skriabin, alexandre_scriabine, scriabin, skryabin, alexandr_nikoláievich_skriabin, alexánder_nikoláievich_scriabin	Russian composer of orchestral and piano music (1872-1915)	0.516	12	8
n11282434	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	alfred_eric_leslie_satie, eric_satie, erik_alfred_satie, erik_satie, satie, eric_satié, érik_satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0.418	12	8
n11242321	bn:00002716n	n	Pons, Lily_Pons, Alice-Josephine_Pons	alice_josephine_pons, alice_pons, lily_pons, alice_joséphine_pons	United States coloratura soprano (born in France) (1904-1976)	0.488	14	10
n06865049	bn:00002805n	n	alla_breve	alla_breve	a musical time signature indicating two or four half notes to a measure	0.778	8	8
a00982170	bn:00096825a	a	allegretto	allegretto	(of tempo) faster than allegro	1.0	99	99
r00270581	bn:00114226r	r	allegretto	allegretto	in a moderately quick tempo	1.0	99	99
n07039770	bn:00002828n	n	allegro	allegro	a musical composition or musical passage to be performed quickly in a brisk lively manner	0.762	2	6
a00982065	bn:00096826a	a	allegro	allegro	(of tempo) fast	1.0	99	99
r00270713	bn:00114227r	r	allegro	allegro	in a quick and lively tempo	1.0	99	99
n07239183	bn:00002915n	n	allocution	alocución	(rhetoric) a formal or authoritative address that advises or exhorts	0.0	9	7
n03517760	bn:00043977n	n	hi-fi, high_fidelity_sound_system	alta_fidelidad, hi-fi, hifi	equipment for the reproduction of sound with high fidelity	0.5	13	9
n00950858	bn:00044092n	n	high_technology, high_tech	alta_tecnologia, high_tech, ultima_tecnologia, alta_tecnología, última_tecnología	highly advanced technological development (especially in electronics)	0.01	11	9
n09786115	bn:00003145n	n	alto	alto, contralto	a singer whose voice lies in the alto clef	1.0	12	8
n06872905	bn:00003146n	n	contralto, alto	alto, contralto	the lowest female singing voice	1.0	5	5
n04536335	bn:00080033n	n	viola	alto, violin_alto, viola, violín_alto	a bowed stringed instrument slightly larger than a violin, tuned a fifth lower	0.688	14	10
n11180209	bn:00003155n	n	Miller, Glenn_Miller, Alton_Glenn_Miller	alton_glenn_miller, glenn_miller_orchestra, glenn_miller	United States bandleader of a popular big band (1909-1944)	0.499	13	9
v01724891	bn:00088149v	v	fiddle	amañar	play on a violin	1.0	99	99
n05127959	bn:00032277n	n	sweep, expanse	amplitud, extensión	a wide scope	1.0	9	7
n07043675	bn:00036754n	n	fugue	analisis_de_una_fuga, fugato, fuga, análisis_de_una_fuga	a musical form consisting of a theme repeated a fifth above or a fourth below its first statement	0.784	3	6
n15265219	bn:00003939n	n	andante	andante	a moderately slow tempo (a walking pace)	1.0	8	6
n07040148	bn:00003940n	n	andante	andante	a musical composition or musical passage to be performed moderately slow	0.764	2	6
a00982954	bn:00097069a	a	andante	andante	(of tempo) moderately slow	1.0	99	99
r00267812	bn:00114284r	r	andante	andante	at a moderately slow tempo	1.0	99	99
n11291284	bn:00003981n	n	Segovia, Andres_Segovia	andres_segovia_torres, andres_segovia_y_torres, andres_segovia, segovia, andrés_segovia, andrés_segovia_torres, andrés_segovia_y_torres	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0.176	12	8
n11136405	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	andrew_lloyd_webber, andrew_lloyd_weber, lloyd_webber	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0.401	12	8
v02592397	bn:00085467v	v	emcee, compere	animar, presentar	act as a master of ceremonies	1.0	99	99
n03884397	bn:00060368n	n	panpipe, pandean_pipe, syrinx	antara, flauta_de_pan, zampoña	a primitive wind instrument consisting of several parallel pipes bound together	0.319	14	10
n10464711	bn:00064104n	n	predecessor	antecesor, predecesora, predecesor	one who precedes you in time (as in holding a position or office)	1.0	9	5
n07048928	bn:00004526n	n	anthem	anthem, himno	a song of devotion or loyalty (as to a nation or school)	0.461	3	7
n07035870	bn:00004527n	n	hymn, anthem	anthem, himnos, himno, hymnus	a song of praise (to God or to a saint or to a nation)	0.196	4	7
n07033245	bn:00004714n	n	antiphon, antiphony	antifona, antiphona, antífona	a verse or song to be chanted or sung in response	0.282	3	6
a02630519	bn:00097251a	a	antiphonary, antiphonal	antifonario, antifonal	relating to or resembling an antiphon or antiphony	0.667	99	99
n10938640	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	antoine_dominique_domino, antoine_domino, fats_domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0.649	12	8
n10868025	bn:00004769n	n	Bruckner, Anton_Bruckner	anton_bruckner, bruckner, ánton_bruckner	Austrian organist and composer of romantic music (1824-1896)	0.528	12	8
n11273286	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	anton_gregor_rubinstein, anton_grigorevich_rubinstein, anton_rubenstein, anton_rubinstein, rubinstein, antón_rubinstein	Russian composer and pianist (1829-1894)	0.504	12	8
n10946961	bn:00004773n	n	Dvorak, Antonin_Dvorak	antonin_dvorak, antonin_dvorák, antonín_dvořák	Czech composer who combined folk elements with traditional forms (1841-1904)	0.496	12	8
n11367910	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	antonio_lucio_vivaldi, antonio_vivaldi, vivaldi	Italian baroque composer and violinist (1675-1741)	0.369	12	8
n11320821	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	antonio_stradivarius, antonio_stradivari, stradivari	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0.26	11	7
n09795124	bn:00004355n	n	announcer	anunciador, locutor, presentador	reads news, commercials on radio or television	0.112	10	6
n10713686	bn:00075680n	n	toastmaster, symposiarch	anunciador_de_brindis	the person who proposes toasts and introduces speakers at a banquet	0.05	10	6
v02190188	bn:00089539v	v	quieten, hush, quiet, quiesce, quiet_down, pipe_down	apaciguarse, callarse, callar, calmar, serenarse, sosegar, tranquilizarse	become quiet or quieter	1.0	99	99
n06392001	bn:00070190n	n	section, subdivision	apartado, parte, sección	a self-contained part of a larger composition (written or musical)	0.766	1	5
n06691989	bn:00005053n	n	applause, hand_clapping, clapping	aplaudir, aplauso, palmadas, palmada, palmas, plauso	a demonstration of approval by clapping the hands together	0.327	5	5
n06692238	bn:00042768n	n	hand	aplauso	a round of applause to signify approval	1.0	6	6
v01728213	bn:00083083v	v	bang_out	aporrear	play loudly	0.5	99	99
n00084895	bn:00055273n	n	misappropriation	apropiación_indebida	wrongful borrowing	0.5	10	8
v01726172	bn:00091713v	v	play	aprovecharse_de, interpretar, jugar, tocar	perform music on (a musical instrument)	0.909	99	99
n05126066	bn:00005163n	n	approximate_range, ballpark	aproximado, ámbito_aproximado	near to the scope or range of something	1.0	9	7
n07010275	bn:00064708n	n	promptbook, prompt_copy	apunte	the copy of the playscript used by the prompter	0.5	7	7
n11103648	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	aram_ilich_jachaturian, aram_jachaturian, aram_kachaturian, aram_katchaturian, aram_khachatourian, aram_khachaturian, aram_khatchaturian, kachaturian, khachaturian, արամ_խաչատրյան, aram_jachaturián, aram_ilich_jachaturián	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0.358	12	8
n11095587	bn:00005303n	n	Kachaturian, Aram_Kachaturian	aram_kachaturian, kachaturian	Armenian composer who incorporated oriental folk music (1903-1978)	0.357	12	8
n10910948	bn:00005378n	n	Corelli, Arcangelo_Corelli	arcangel_corelli, arcangelo_corelli, corelli, arcángel_corelli, arcángelo_corelli	Italian violinist and composer of violin concertos (1653-1713)	0.496	12	8
n07049514	bn:00005624n	n	aria	aria	an elaborate song for solo voice	0.78	3	7
n07049634	bn:00005638n	n	arietta, short_aria	aria_corta, arietta, arieta	a short aria	1.0	4	8
n07087508	bn:00005646n	n	arioso	arioso	(music) a short recitative that is melodic but is not an aria	0.841	4	8
n11044939	bn:00043828n	n	Herman, Woody_Herman, Woodrow_Charles_Herman	armando, herman, woodrow_charles_herman, woody_herman	United States jazz musician and bandleader (1913-1987)	0.661	12	8
n07027180	bn:00043029n	n	harmony, musical_harmony	armonia_musical, armonias, armonia, armonía, armonías, armonía_musical	the structure of music with respect to the composition and progression of chords	0.597	1	5
n03440682	bn:00040696n	n	glockenspiel, orchestral_bells	armonica_de_metal, campanologo, glockenspiels, glockenspiel, juego_de_timbres, lira, campanólogo, armónica_de_metal	a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers	0.718	13	9
r00134727	bn:00115601r	r	harmonically	armónicamente, en_términos_armónicos	with respect to harmony	1.0	99	99
n04988078	bn:00043016n	n	harmonic	armónico	any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental	0.376	8	6
n03494537	bn:00043028n	n	harmonium, organ, reed_organ	armonista, armonium, armonio, harmonium, harmonio, órgano, armónium	a free-reed instrument in which air is forced through the reeds by bellows	0.529	14	10
n07027458	bn:00043024n	n	harmonization, harmonisation	armonización	a piece of harmonized music	0.92	2	6
n01253778	bn:00043025n	n	harmonization, harmonisation	armonización	singing in harmony	1.0	11	9
v01707306	bn:00089216v	v	harmonize, harmonise	armonizar	write a harmony for	1.0	99	99
v01706889	bn:00089217v	v	harmonize, harmonise	armonizar	sing or play in harmony	0.833	99	99
v00482180	bn:00084944v	v	harmonize, harmonise, chord	armonizar, concordar, congeniar	bring into consonance, harmony, or accord while making music or singing	0.857	99	99
n10823199	bn:00005802n	n	Armstrong, Louis_Armstrong, Satchmo	armstrong, louis_armstrong, louis_daniel_armstrong, pops, satchmo	United States pioneering jazz trumpeter and bandleader (1900-1971)	0.416	12	8
n11285902	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	arnold_schoemberg, arnold_schoenberg, arnold_schonberg, schoemberg, schoenberg, schomberg, schonberg, sinfonia_de_camara, schönberg, schöenberg, arnold_schönberg, arnold_schöenberg, sinfonía_de_cámara	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0.503	12	8
n03597916	bn:00048180n	n	jew's_harp, jews'_harp, mouth_bow	arpa_de_boca, arpa_de_mandibula, arpa, birimbao, guimbarda, guimbarde, jews_harp, pichulita, torompe, trompa_gallega, trompe, trompa_de_parís, arpa_de_mandíbula	a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity	0.331	12	8
n02682407	bn:00001644n	n	aeolian_harp, aeolian_lyre, wind_harp	arpa_eolica, arpa_eolia, harpa_eolia, arpa_eólica	a harp having strings tuned in unison; they sound when wind passes over them	0.308	15	11
v01732713	bn:00089223v	v	harp	arpar	play the harp	0.75	99	99
n03495258	bn:00043043n	n	harp	arpas, arpa, harpa, huaylarsh	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers	0.436	14	10
n10160770	bn:00043046n	n	harpist, harper	arpista, harper	someone who plays the harp	0.44	11	7
n09809925	bn:00001269n	n	arranger, adapter, transcriber	arreglista	a musician who adapts a composition for particular voices or instruments or for another style of performance	0.825	11	7
n00939628	bn:00005866n	n	arrangement, arranging, transcription	arreglo, transcripcion, transcripción	the act of arranging and adapting a piece of music	0.795	11	9
n07038400	bn:00005865n	n	musical_arrangement, arrangement	arreglo_musical, arreglos_musicales, arreglo, adaptación	a piece of music that has been adapted for performance by a particular set of voices or instruments	0.823	2	6
n00048225	bn:00005885n	n	arrival, reaching	arrival, cumplimiento, llegada, logro, obtención, consecución	accomplishment of an objective	0.828	9	7
n00546738	bn:00023495n	n	lullaby, cradlesong	arrullo, canto_de_cuna, nana, canción_de_cuna	the act of singing a quiet song to lull a child to sleep	0.5	11	9
n11332688	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	art_tatum	United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)	0.633	12	8
n08465558	bn:00007432n	n	avant-garde, vanguard, van, new_wave	arte_de_vanguardia, avant-garde, avant_garde, avantgarde, ismos, vanguardia_artistica, vanguardias_artisticas, vanguardias_historicas, vanguardias, vanguardismo, vanguardistas, vanguardista, vanguardia, vanguardia_artística, vanguardias_artísticas, vanguardias_históricas	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0.471	8	6
n06157326	bn:00061565n	n	performing_arts	arte_escenico, artes_escenicas, escenificacion, obra_escenica, arte_escénico, obra_escénica, escenificación, artes_escénicas	arts or skills that require public performance	0.17	10	8
n10970488	bn:00006095n	n	Fiedler, Arthur_Fiedler	arthur_fiedler	popular United States conductor (1894-1979)	0.469	12	8
n11057679	bn:00006098n	n	Honegger, Arthur_Honegger	arthur_honegger, oscar-arthur_honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0.359	12	8
n11296429	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	arthur_jacob_arshawsky, artie_shaw	United States clarinetist and leader of a swing band (1910-2004)	0.494	12	8
n11273479	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	arthur_rubinstein, artur_rubinstein, arturo_rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0.49	12	8
n11324212	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	arthur_s._sullivan, arthur_s_sullivan, arthur_seymour_sullivan, arthur_sullivan, sir_arthur_seymour_sullivan, sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0.617	12	8
n06392935	bn:00006123n	n	article, clause	artículo, cláusula	a separate section of a legal document (as a statute or contract or will)	0.182	2	6
n07065333	bn:00005947n	n	progressive_rock, art_rock	art-rock, art_rock, rock_experimental, rock_progresivo, prog_rock_ó_classical_rock	a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing	0.833	4	7
n11285456	bn:00006198n	n	Schnabel, Artur_Schnabel	artur_schnabel, schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0.639	12	8
n11346257	bn:00006199n	n	Toscanini, Arturo_Toscanini	arturo_toscanini, toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0.599	12	8
n10338707	bn:00051488n	n	murderer, liquidator, manslayer	asesina, asesino, homicida, matador, victimario	a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)	0.006	9	5
n10231087	bn:00049103n	n	killer, slayer	asesina, asesino, homicida, slayer	someone who causes the death of a person or animal	0.572	8	4
n14499111	bn:00072843n	n	sordidness, squalor, squalidness	asquerosidad, escualidez, inmundicia, miseria, sordidez, cutrería	sordid dirtiness	1.0	9	7
n03612965	bn:00048981n	n	kettle, kettledrum, tympanum, tympani, timpani	atabal, timbal_de_concierto, timbal_grande, timbal, timpani, tímpano, tímpanos	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it	0.533	13	9
n10492627	bn:00065218n	n	puncher	atacante, puncher	someone who delivers punches	0.5	10	6
n06864014	bn:00006943n	n	atonality, atonalism	atonalidad, atonalismo, musica_atonal, música_atonal	the absence of a key; alternative to the diatonic system	0.663	7	7
a02647236	bn:00097701a	a	atonalistic	atonalístico	of or relating to atonalism	1.0	99	99
n09837088	bn:00008314n	n	bandit, brigand	atracador, bandido, bandolera, bandolero, forajido, pistolero	an armed thief who is (usually) a member of a band	0.165	13	9
n03801760	bn:00056453n	n	music_stand, music_rack	atril	a light stand for holding sheets of printed music	0.521	13	9
n06278136	bn:00007101n	n	audio, sound	audio, sonido, volumen	the audible part of a transmitted signal	0.5	2	4
v02171664	bn:00085998v	v	whine, squeak, screech, creak, screak, skreak	aullar, chirriar, crujir, rechinar	make a high-pitched, screeching noise	0.75	99	99
n07385367	bn:00045076n	n	howl	aullido	a loud sustained noise resembling the cry of a hound	0.25	9	7
n11105298	bn:00007606n	n	King, B._B._King, Riley_B_King	b._b._king, b.b._king, b.b.king, b.b_king, b_b_king, bb_king	United States guitar player and singer of the blues (born in 1925)	0.519	12	8
n13284562	bn:00013043n	n	bribe, payoff	bacalada, cohecho, coima, matraca, mordida, soborno, alfadía	payment made to a person in a position of trust to corrupt his judgment	0.571	10	8
n09829798	bn:00007689n	n	bacchant, bacchanal	bacanal, bacante, ménade	a drunken reveller; a devotee of Bacchus	0.5	10	6
n07277915	bn:00007701n	n	Bach	bach	the music of Bach	1.0	1	5
n10830229	bn:00007700n	n	Bach, Johann_Sebastian_Bach	bach, johann_sebastian_bach	German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)	0.456	12	8
n02869249	bn:00012018n	n	bones, castanets, clappers, finger_cymbals	badajo, castanuelas, huesos, hueso, maracas, platillos, castañuela, castañuelas	a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance	0.134	13	9
n07046917	bn:00069583n	n	scherzo	badinerie, scherzi, scherzo	a fast movement (usually in triple time)	0.83	3	7
n10557404	bn:00069607n	n	schmuck, shmuck, schmo, shmo	badulaque, idiota, tonto, bobalicón	(Yiddish) a jerk	0.5	11	7
n07042498	bn:00007935n	n	bagatelle	bagatela	a light piece of music for piano	0.865	2	6
n07055401	bn:00035010n	n	flamenco	bailaora, bailaor, flamenco	guitar music composed for dancing the flamenco	0.304	2	6
v01708542	bn:00089972v	v	jive	bailar	dance to jive music; dance the jive	1.0	99	99
n00530874	bn:00014612n	n	cakewalk	baile_cakewalk, cake_walk, cakewalk, danza_cakewalk	a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake	0.491	9	7
n10831363	bn:00007977n	n	Bailey, Pearl_Bailey, Pearl_Mae_Bailey	bailey, pearl_bailey, pearl_mae_bailey	United States singer (1918-1990)	1.0	12	8
v00393534	bn:00087373v	v	flatten, drop	bajar, engravecer	lower the pitch of (musical notes)	1.0	99	99
n09842629	bn:00008939n	n	bassist	bajista, guitarrita	a musician who play the bass viol	0.916	11	7
n07032292	bn:00008912n	n	bass, bass_part	bajo	the lowest part in polyphonic music	1.0	3	7
n09842528	bn:00008913n	n	bass, basso	bajo	an adult male singer with the lowest voice	0.5	12	8
