wn_synset	babelnet_id	pos	lemmata en	lemmata it	definition	confidence	dist_from_music	dist_from_entity
n11129130	bn:00002403n	n	Lerner, Alan_Jay_Lerner	00017875854_ipi, alan_jay_lerner	United States lyricist who collaborated on musicals with Frederick Loewe (1918-1986)	0.225	11	7
n06871127	bn:00024041n	n	quarter_note, crotchet	1/4, semiminima, ♩	a musical note having the time value of a quarter of a whole note	0.582	8	8
n03694639	bn:00049539n	n	LP, L-P	33_giri, ellepi, l.p., long-playing, long_playing, long_play, lp, microsolco, trentatre_giri	a long-playing phonograph record; designed to be played at 33.3 rpm	0.623	15	11
n10191802	bn:00045195n	n	hummer	a_bocca_chiusa	a singer who produces a tune without opening the lips or forming words	0.6	12	8
a02252352	bn:00096108a	a	a_cappella	a_cappella	sung without instrumental accompaniment	1.0	99	99
n00546070	bn:00000166n	n	a_cappella_singing, a_capella_singing	a_cappella	singing without instrumental accompaniment	1.0	11	9
n07040939	bn:00072745n	n	solo	a_solo, assolo	a musical composition for one voice or instrument (with or without accompaniment)	0.909	2	6
n10909929	bn:00000188n	n	Copland, Aaron_Copland	aaron_copland	United States composer who developed a distinctly American music (1900-1990)	0.349	12	8
n06871983	bn:00000688n	n	grace_note, appoggiatura, acciaccatura	abbellimento, acciaccatura, appoggiatura, grupetto, nota_di_tolleranza	an embellishing note usually written in smaller size	0.706	8	8
n03282401	bn:00030473n	n	embellishment	abbellimento, fiorettatura, fioritura, fronzolo, imbellettatura, infiorettatura, ornamenti, ornamento	a superfluous ornament	0.714	10	6
r00264927	bn:00114100r	r	accelerando	accelerando	with increasing speed	1.0	99	99
v01055829	bn:00089508v	v	hum	accennare, bofonchiare, brontolare, canterellare, canticchiare, mormorare, sibilare	sing with closed lips	1.0	99	99
n06867345	bn:00000693n	n	accidental	accidente, alterazione	a musical notation that makes a note sharp or flat or natural although that is not part of the key signature	0.622	7	7
n06691989	bn:00005053n	n	applause, hand_clapping, clapping	acclamazione, applauso, battere_le_mani, battimani, battimano, ovazione, plauso	a demonstration of approval by clapping the hands together	0.327	5	5
n07031752	bn:00000717n	n	accompaniment, musical_accompaniment, backup, support	accompagnamento	a musical part (vocal or instrumental) that supports or provides background for other musical parts	0.941	3	7
v01728355	bn:00082223v	v	play_along, accompany, follow	accompagnare	perform an accompaniment to	0.75	99	99
n09760913	bn:00000720n	n	accompanist, accompanyist	accompagnatore	a person who provides musical accompaniment (usually on a piano)	0.919	11	7
n10063461	bn:00031573n	n	escort	accompagnatore, accompagnatrice, hostess, scorta	an attendant who is employed to accompany someone	0.2	11	7
n10299250	bn:00030515n	n	master_of_ceremonies, emcee, host	accompagnatore, cerimoniere, cicerone, maestro_di_cerimonie, master_of_ceremonies, mc's, mcing, moderatore, mc, padrone_di_casa, presentatore	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0.252	9	5
n10741821	bn:00042104n	n	usher, guide	accompagnatore, messo, usciere, usher	someone employed to conduct others	0.571	12	8
v00482180	bn:00084944v	v	harmonize, harmonise, chord	accordare, armonizzare, concertare, intonare	bring into consonance, harmony, or accord while making music or singing	0.857	99	99
v01727354	bn:00084943v	v	chord	accordo	play chords on (a string instrument)	0.667	99	99
n07065562	bn:00000912n	n	psychedelic_rock, acid_rock	acid-rock, acid_rock, musica_psichedelica, psychedelic_rock, rock_psichedelico	a musical style that emerged in the 1960s; rock music inspired by or related to drug-induced experience	0.797	4	7
n04990021	bn:00071348n	n	shrillness, stridence, stridency	acutezza	having the timbre of a loud high-pitched sound	1.0	8	6
a01214430	bn:00110516a	a	shrill, sharp	acuto, stridente, stridula, stridulo	having or emitting a high-pitched and sharp tone or tones	1.0	99	99
n07047804	bn:00001237n	n	adagio	adagio	(music) a composition played in adagio tempo (slowly and gracefully)	0.764	2	6
n07038400	bn:00005865n	n	musical_arrangement, arrangement	adattamento, arrangiamento_musicale, arrangiamenti, arrangiamento, arrangiatore, arrangiatrice, riduzione	a piece of music that has been adapted for performance by a particular set of voices or instruments	0.823	2	6
n10074339	bn:00031355n	n	exterminator, terminator, eradicator	addetto_alla_disinfestazione, massacratore, sterminatore	someone who exterminates (especially someone whose occupation is the extermination of troublesome rodents and insects)	0.019	9	5
n00084371	bn:00001495n	n	borrowing, adoption	adozione	the appropriation (of ideas or words etc) from another source	0.034	9	7
n10077593	bn:00013648n	n	fan, buff, devotee, lover	aficionado, amante, amatore, ammiratore, appassionato, entusiasta, fan, patito, habitué	an ardent follower and admirer	0.75	9	5
n09776807	bn:00001806n	n	aficionado	aficionado, appassionato, fan	a serious devotee of some particular music genre or musical performer	0.667	10	6
n13977366	bn:00021212n	n	disturbance, disruption, commotion, flutter, hurly_burly, to-do, hoo-ha, hoo-hah, kerfuffle	agitazione, commozione, fermento, kerfuffle, rivolgimento, sconvolgimento, sommovimento, tumulto, turbamento	a disorderly outburst or tumult	0.8	7	5
n10846089	bn:00002438n	n	Berg, Alban_Berg	alban_berg	Austrian composer in Schoenberg's twelve-tone music system (1885-1935)	0.424	12	8
n06591815	bn:00002488n	n	album, record_album	album_discografici, album_discografico, album_in_studio, album_musicale, album_musicali, album_studio, album, raccolta_musicale	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc	0.589	11	7
n06592078	bn:00021548n	n	concept_album	album_tematico, concept-album, concept_album	an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional)	0.789	12	8
n06592421	bn:00009907n	n	tribute_album, benefit_album	album_tributo	concept album compiling a performer's work or work supporting some worthy cause	0.868	13	9
n10858333	bn:00002571n	n	Borodin, Aleksandr_Borodin, Aleksandr_Porfirevich_Borodin	aleksander_borodin, aleksandr_borodin, aleksandr_porfirevich_borodin, aleksandr_porfiryevich_borodin, alexander_borodin, alexander_porfir'yevich_borodin, alexander_porfiryevich_borodin, alexander_porfyrevich_borodin, alexander_porfyrievich_borodin, alexandr_borodin, alexandr_porfirevich_borodin, alexandre_porfirievitch_borodine, borodin,_aleksandr_porfiryevich, aleksandr_porfir'evič_borodin, aleksandr_porfirjevič_borodin, alexander_porfir’yevich_borodin, alexander_porphyrjewitsch_borodin	Russian composer (1833-1887)	0.339	12	8
n11289830	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	aleksandr_nikolaevich_skriabin, aleksandr_nikolaievich_scriabin, aleksandr_nikolayevich_scriabin, aleksandr_scriabin, aleksandr_skrjabin, aleksandr_skryabin, alexander_nikolayevich_scriabin, alexander_nikolayevich_skriabin, alexander_skriabin, alexander_skrjabin, alexander_skryabin, alexandr_skrjabin, scriabine, skriabine, skriabin, skryabin, aleksandr_nikolaevič_skrjabin	Russian composer of orchestral and piano music (1872-1915)	0.516	12	8
n06865049	bn:00002805n	n	alla_breve	alla_breve	a musical time signature indicating two or four half notes to a measure	0.778	8	8
a00982170	bn:00096825a	a	allegretto	allegretto	(of tempo) faster than allegro	1.0	99	99
n15264891	bn:00002825n	n	allegretto	allegretto	a quicker tempo than andante but not as fast as allegro	1.0	8	6
r00270581	bn:00114226r	r	allegretto	allegretto	in a moderately quick tempo	1.0	99	99
n07039949	bn:00002826n	n	allegretto	allegretto	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro	0.767	2	6
n15265021	bn:00002827n	n	allegro	allegro	a brisk and lively tempo	1.0	8	6
a00982065	bn:00096826a	a	allegro	allegro	(of tempo) fast	1.0	99	99
r00270713	bn:00114227r	r	allegro	allegro	in a quick and lively tempo	1.0	99	99
n07039770	bn:00002828n	n	allegro	allegro	a musical composition or musical passage to be performed quickly in a brisk lively manner	0.762	2	6
n06693655	bn:00042676n	n	hallelujah	alleluia, alleluja, halleluia, halleluyah, lodate_iah	a shout or song of praise to God	0.188	10	8
n00950858	bn:00044092n	n	high_technology, high_tech	alta_tecnologia, high-tech, high_tech	highly advanced technological development (especially in electronics)	0.01	11	9
v00393398	bn:00093582v	v	sharpen	alzare_di_un_semitono	raise the pitch of (musical notes)	1.0	99	99
n07059962	bn:00063557n	n	pop_music, pop	am_pop, musica_commerciale, musica_pop, musica_semplice, pop-classica, pop_band, pop_music, pop	music of general appeal to teenagers; a bland watered-down version of rock'n'roll with more rhythm and harmony and an emphasis on romantic love	0.749	3	6
n07020895	bn:00056443n	n	music	amante_della_musica, appassionato_di_musica, melomane, musica	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner	0.428	0	4
n05125377	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	ambito, area, campo, contesto, estensione, gamma, orbita, portata, raggio_d'azione, registro, settore, tessitura	an area in which something acts or operates or has power or control: "the range of a supersonic jet"	0.681	8	6
a00982954	bn:00097069a	a	andante	andante	(of tempo) moderately slow	1.0	99	99
r00267812	bn:00114284r	r	andante	andante	at a moderately slow tempo	1.0	99	99
n15265219	bn:00003939n	n	andante	andante	a moderately slow tempo (a walking pace)	1.0	8	6
n07040148	bn:00003940n	n	andante	andante	a musical composition or musical passage to be performed moderately slow	0.764	2	6
n11291284	bn:00003981n	n	Segovia, Andres_Segovia	andres_segovia, andrés_segovia	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0.176	12	8
n11136405	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	andrew_lloyd_webber, lloyd_webber	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0.401	12	8
n06867218	bn:00015177n	n	natural, cancel	annullamento, beqquadro, bequadro, biqquadro, biquadro, cancellazione, cassazione, obliteratore, timbro_postale, ♮	a notation cancelling a previous sharp or flat	0.536	7	7
n09795124	bn:00004355n	n	announcer	annunciatore, annunziatore, presentatore, speaker	reads news, commercials on radio or television	0.112	10	6
n10464711	bn:00064104n	n	predecessor	antecessore, predecessore	one who precedes you in time (as in holding a position or office)	1.0	9	5
n10102969	bn:00035810n	n	forefather	antenato, avo	person from an earlier time who contributed to the tradition shared by some group	0.526	10	6
n07048928	bn:00004526n	n	anthem	anthem, inno	a song of devotion or loyalty (as to a nation or school)	0.461	3	7
n07033245	bn:00004714n	n	antiphon, antiphony	antifona	a verse or song to be chanted or sung in response	0.282	3	6
a02630519	bn:00097251a	a	antiphonary, antiphonal	antifonale	relating to or resembling an antiphon or antiphony	0.667	99	99
n07048782	bn:00004716n	n	antiphony	antifonia	alternate (responsive) singing by a choir in two parts	0.6	1	5
n10938640	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	antoine_domino, fats_domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0.649	12	8
n10868025	bn:00004769n	n	Bruckner, Anton_Bruckner	anton_bruckner, joseph_anton_bruckner	Austrian organist and composer of romantic music (1824-1896)	0.528	12	8
