wn_synset	babelnet_id	pos	lemmata en	lemmata it	definition	confidence	dist_from_music	dist_from_entity
n11273286	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	anton_grigorevič_rubinštejn, anton_grigor'evič_rubinštejn	Russian composer and pianist (1829-1894)	0.504	12	8
n10946961	bn:00004773n	n	Dvorak, Antonin_Dvorak	antonín_dvořák, antonín_leopold_dvořák	Czech composer who combined folk elements with traditional forms (1841-1904)	0.496	12	8
n11367910	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	antonio_lucio_vivaldi, antonio_vivaldi	Italian baroque composer and violinist (1675-1741)	0.369	12	8
n11320821	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	antonio_stradivari, stradivari	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0.26	11	7
n11103648	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	aram_ilyich_katchaturian, aram_ilyich_khachaturyan, aram_kachaturian, aram_katchaturian, aram_khachatryan, aram_khachaturian, aram_khachaturyan, aram_khahcaturian, aram_khatschaturjan, chatschaturian, chatschaturijan, katchaturian, khatchaturian, khatschaturian, khatschaturjan, khačaturjan, aram_il'ič_chačaturjan	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0.358	12	8
n10910948	bn:00005378n	n	Corelli, Arcangelo_Corelli	arcangelo_corelli	Italian violinist and composer of violin concertos (1653-1713)	0.496	12	8
n07049514	bn:00005624n	n	aria	aria	an elaborate song for solo voice	0.78	3	7
n04727214	bn:00002187n	n	air, aura, atmosphere	aria, atmosfera, atteggiamento, aura	a distinctive but intangible quality surrounding a person or thing	0.779	6	4
n07028373	bn:00002191n	n	tune, melody, air, strain, melodic_line, line, melodic_phrase	aria, canto, linea_melodica, melodia, melodie	a succession of notes forming a distinctive sequence	0.657	1	5
n07049634	bn:00005638n	n	arietta, short_aria	arietta, motivetto	a short aria	1.0	4	8
a01501505	bn:00097492a	a	ariose, songlike	arioso	having a melody (as distinguished from recitative)	1.0	99	99
n07087508	bn:00005646n	n	arioso	arioso	(music) a short recitative that is melodic but is not an aria	0.841	4	8
n02456008	bn:00040391n	n	giant_armadillo, tatou, tatu, Priodontes_giganteus	armadillo_gigante, priodontes_giganteus	about three feet long exclusive of tail	0.38	17	13
n07027180	bn:00043029n	n	harmony, musical_harmony	armonia	the structure of music with respect to the composition and progression of chords	0.597	1	5
n03597916	bn:00048180n	n	jew's_harp, jews'_harp, mouth_bow	armonica, marranzano, murchanga, scacciapensieri	a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity	0.331	12	8
r00134727	bn:00115601r	r	harmonically	armonicamente, armoniosamente, musicalmente	with respect to harmony	1.0	99	99
a01502195	bn:00106586a	a	tuneful, melodious	armonioso, intonato, melodioso, musicale	having a musical sound; especially a pleasing tune	1.0	99	99
n03494537	bn:00043028n	n	harmonium, organ, reed_organ	armonium, armonio, harmonium, organo_a_pompa, organo_ad_aria_compressa	a free-reed instrument in which air is forced through the reeds by bellows	0.529	14	10
v01707306	bn:00089216v	v	harmonize, harmonise	armonizzare	write a harmony for	1.0	99	99
n01253778	bn:00043025n	n	harmonization, harmonisation	armonizzazione	singing in harmony	1.0	11	9
n07027458	bn:00043024n	n	harmonization, harmonisation	armonizzazione	a piece of harmonized music	0.92	2	6
n11285902	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	arnold_schoenberg, arnold_schonberg, arnold_shoenberg, schonberg, arnold_schönberg	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0.503	12	8
v01732713	bn:00089223v	v	harp	arpa	play the harp	0.75	99	99
n03495258	bn:00043043n	n	harp	arpa, arpe	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers	0.436	14	10
n02682407	bn:00001644n	n	aeolian_harp, aeolian_lyre, wind_harp	arpa_eolia	a harp having strings tuned in unison; they sound when wind passes over them	0.308	15	11
n10160770	bn:00043046n	n	harpist, harper	arpeggiatore, arpista, suonatore_d'arpa	someone who plays the harp	0.44	11	7
n06869610	bn:00005858n	n	arpeggio	arpeggio	a chord whose notes are played in rapid succession rather than simultaneously	0.771	9	9
n00939628	bn:00005866n	n	arrangement, arranging, transcription	arrangiamento, trascrizione	the act of arranging and adapting a piece of music	0.795	11	9
n09809925	bn:00001269n	n	arranger, adapter, transcriber	arrangiatore	a musician who adapts a composition for particular voices or instruments or for another style of performance	0.825	11	7
n00048225	bn:00005885n	n	arrival, reaching	arrival, arrivo	accomplishment of an objective	0.828	9	7
n11332688	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	art_tatum	United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)	0.633	12	8
n06157326	bn:00061565n	n	performing_arts	arte_performativa, arti_dello_spettacolo, arti_performative	arts or skills that require public performance	0.17	10	8
n10970488	bn:00006095n	n	Fiedler, Arthur_Fiedler	arthur_fiedler	popular United States conductor (1894-1979)	0.469	12	8
n11057679	bn:00006098n	n	Honegger, Arthur_Honegger	arthur_honegger, oscar-arthur_honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0.359	12	8
n11273479	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	arthur_rubenstein, arthur_rubinstein, artur_rubenstein, artur_rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0.49	12	8
n11324212	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	arthur_seymour_sullivan, arthur_sullivan, sir_arthur_sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0.617	12	8
n06392935	bn:00006123n	n	article, clause	articolo, art., capitolo, clausola, comma	a separate section of a legal document (as a statute or contract or will)	0.182	2	6
n06392001	bn:00070190n	n	section, subdivision	articolo, sezione	a self-contained part of a larger composition (written or musical)	0.766	1	5
n11296429	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	artie_shaw	United States clarinetist and leader of a swing band (1910-2004)	0.494	12	8
n07065333	bn:00005947n	n	progressive_rock, art_rock	art-rock, art_rock, musica_progressive, prog-rock, prog_rock, progressive_rock, progressive, prog, rock_progressive, rock_progressivo	a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing	0.833	4	7
n11285456	bn:00006198n	n	Schnabel, Artur_Schnabel	artur_schnabel, schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0.639	12	8
n11346257	bn:00006199n	n	Toscanini, Arturo_Toscanini	arturo_toscanini, toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0.599	12	8
n10338707	bn:00051488n	n	murderer, liquidator, manslayer	assassina, assassino, omicida	a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)	0.006	9	5
n10231087	bn:00049103n	n	killer, slayer	assassinatore, assassino, micidiale, omicida, slayer, uccisore	someone who causes the death of a person or animal	0.572	8	4
n04554406	bn:00080524n	n	washboard	asse_per_il_bucato	device consisting of a corrugated surface to scrub clothes on	0.408	11	7
n00338821	bn:00066440n	n	rearrangement	assestamento, assesto, assettamento, regolazione, riarrangiamento, riassestamento, riassetto, rimpasto, riordinamento, riordinazione	changing an arrangement	1.0	12	10
n06864014	bn:00006943n	n	atonality, atonalism	atonale, dodecafonia, musica_atonale, atonalità	the absence of a key; alternative to the diatonic system	0.663	7	7
n10448568	bn:00063265n	n	poisoner	attossicatore, avvelenatore, venefico	someone who kills with poison	0.333	9	5
n02757462	bn:00007108n	n	audio_system, sound_system	audio, impianto_audio	a system of electronic equipment for recording or reproducing sound	0.314	11	7
n06278136	bn:00007101n	n	audio, sound	audio, suono	the audible part of a transmitted signal	0.5	2	4
n00794614	bn:00007121n	n	audition, tryout	audizione, provino	a test of the suitability of a performer	0.421	10	8
n10098245	bn:00035127n	n	flutist, flautist, flute_player	auleta, aulete, flautista, flauto	someone who plays the flute	0.522	11	7
n03738066	bn:00054057n	n	mechanical_piano, Pianola, player_piano	autopiano, piano_meccanico, pianoforte_automatico, pianoforte_meccanico, pianola	a mechanically operated piano that uses a roll of perforated paper to activate the keys	0.471	14	10
n09947232	bn:00021397n	n	composer	autore, compositore, compositori, compositrice, musicista	someone who composes music as a profession	0.789	11	7
n08465558	bn:00007432n	n	avant-garde, vanguard, van, new_wave	avanguardia_artistica, avanguardie_storiche, avanguardismo, avanguardia, avanguardie, avant-garde, avant_garde, pittura_d'avanguardia	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0.471	8	6
n07019396	bn:00024538n	n	curtain_raiser	avanspettacolo, rivista	a short play presented before the main play	0.167	9	7
n00048828	bn:00001564n	n	advent, coming	avvento, venuta	arrival that has been awaited (especially of something momentous)	0.333	10	8
n11105298	bn:00007606n	n	King, B._B._King, Riley_B_King	b.b._king, bb_king	United States guitar player and singer of the blues (born in 1925)	0.519	12	8
n07385660	bn:00013385n	n	hubbub, uproar, brouhaha, katzenjammer	baccano, bailamme, baraonda, bolgia, bordello, buriana, caciara, cagnara, canea, chiasso, clamore, fracasso, fragore, frastuono, gazzarra, parapiglia, sarabanda, schiamazzo, strepito	loud confused noise from many sources	1.0	9	7
n07377473	bn:00011127n	n	blare, blaring, cacophony, clamor, din	baccano, cancan, chiasso, clangore, fracasso, fragore, frastuono, rombazzo, rumore_infernale, schiamazzo, strepitio, strepito, trambusto	a loud harsh or strident noise	0.5	9	7
n07390945	bn:00065847n	n	racket	baccano, casino, chiasso, confusione, fracasso, gazzarra, schiamazzo, trambusto	a loud and disturbing noise	1.0	9	7
n02809364	bn:00009041n	n	baton, wand	bacchetta_del_direttore_d'orchestra	a thin tapered rod used by a conductor to lead an orchestra or choir	0.569	12	8
n03715669	bn:00042732n	n	mallet, hammer	bacchette, mallet, mazzolo, mazzuola, mazzuolo	a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.	0.5	13	9
n10830229	bn:00007700n	n	Bach, Johann_Sebastian_Bach	bach, giovanni_sebastiano_bach, j._s._bach, j.s._bach, johann_sebastian_bach	German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)	0.456	12	8
n00293125	bn:00055825n	n	moonwalk	backslide, moon_walk, moonwalking, moonwalk	a kind of dance step in which the dancer seems to be sliding on the spot	0.234	12	10
n02771004	bn:00007821n	n	backspace_key, backspace, backspacer	backspace, ␈	the typewriter key used for back spacing	0.495	14	10
n07046917	bn:00069583n	n	scherzo	badinage, badinerie, scherzo	a fast movement (usually in triple time)	0.83	3	7
n07042498	bn:00007935n	n	bagatelle	bagatella, bagattella	a light piece of music for piano	0.865	2	6
n13978709	bn:00037296n	n	tumult, tumultuousness, uproar, garboil	bailamme, buriana, cagnara, clamore, diavolio, parapiglia, putiferio, tumulto	a state of commotion and noise and confusion	0.75	8	6
n02776978	bn:00008042n	n	balalaika	balalaica, balalaika	a stringed instrument that has a triangular body and three strings	0.361	14	10
n07449676	bn:00066281n	n	rave	baldoria, orgia, rave	a dance party that lasts all night and electronically synthesized music is played	0.925	10	8
n07054433	bn:00025149n	n	dance_music	ballabile, musica_da_ballo	music to dance to	0.899	1	5
v01708542	bn:00089972v	v	jive	ballare_il_jive	dance to jive music; dance the jive	1.0	99	99
n07049713	bn:00008153n	n	ballad, lay	ballata	a narrative song with a recurrent refrain	0.4	3	7
n06378427	bn:00008156n	n	ballade	ballata	a poem consisting of 3 stanzas and an envoy	0.67	7	7
n07055401	bn:00035010n	n	flamenco	ballerino_di_flamenco, flamenco	guitar music composed for dancing the flamenco	0.304	2	6
n07054336	bn:00008166n	n	ballet	balletto	music written for a ballet	1.0	1	5
n08246613	bn:00056461n	n	musical_organization, musical_organisation, musical_group	band, complesso, ensemble_musicale, gruppo_musicale	an organization of musicians who perform together	0.898	7	5
n08249038	bn:00008280n	n	band	banda, complesso, gruppo_musicale, musica	instrumentalists not including string players	0.894	8	6
n08249960	bn:00008283n	n	dance_band, band, dance_orchestra	banda, orchestra_da_ballo, orchestrina	a group of musicians playing popular music for dancing	0.875	8	6
n08249459	bn:00021561n	n	concert_band, military_band	banda_da_concerto, banda_sinfonica, complesso_bandistico, corpi_bandistici_militari, fanfara, musica_per_strumenti_a_fiato, orchestra_di_fiati, orchestre_di_fiati	a group of musicians playing brass and woodwind and percussion instruments	0.471	9	7
n08249336	bn:00012794n	n	brass_band	banda_di_ottoni, brass_band, fanfara	a group of musicians playing only brass and percussion instruments	0.581	9	7
n08250302	bn:00020889n	n	jazz_band, jazz_group, combo	banda_jazz, gruppo_jazz	a small band of jazz musicians	0.836	9	7
n09837459	bn:00008320n	n	bandsman	bandista, musicante	a player in a band (especially a military band)	0.75	11	7
n09837088	bn:00008314n	n	bandit, brigand	bandito, brigante, ladrone, malandrino, masnadiere, masnadiero	an armed thief who is (usually) a member of a band	0.165	13	9
n09837201	bn:00008316n	n	bandleader	bandleader, capobanda, direttore_di_banda_musicale, direttore_di_banda	the leader of a dance band	0.946	12	8
n02786736	bn:00008319n	n	bandoneon	bandoneonista, bandoneon, bandoneón	a type of concertina popular in South America	0.448	15	11
n07376257	bn:00008250n	n	bang, clap, eruption, blast, bam	bang, botta, botto, bum, colpo, percussione, scoppio, squillo	a sudden very loud noise	0.667	9	7
n10539715	bn:00013851n	n	rotter, dirty_dog, rat, skunk, stinker, stinkpot, bum, puke, crumb, lowlife, scum_bag, so-and-so, git	barbone, canaglia, carogna, fetente, puzzone, vagabondo	a person who is deemed to be despicable or contemptible	0.0	10	6
n11322178	bn:00008549n	n	Streisand, Barbra_Streisand, Barbra_Joan_Streisand	barbra_joan_streisand, barbra_streisand	United States singer and actress (born in 1942)	0.309	12	8
n07049931	bn:00008552n	n	barcarole, barcarolle	barcarola	a boating song sung by Venetian gondoliers	0.738	3	7
n06872562	bn:00008587n	n	baritone, baritone_voice	baritono	the second lowest adult male singing voice	0.5	5	5
n09839436	bn:00008586n	n	baritone, barytone	baritono	a male singer	0.913	12	8
n10837258	bn:00008751n	n	Bartok, Bela_Bartok	bartok, bela_bartok, bartòk, bartók, béla_bartok, béla_bartók	Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)	0.468	12	8
n02803666	bn:00008921n	n	bass_drum, gran_casa	bass_drum, doppia_cassa, doppio_pedale, gran_cassa, grancassa	a large drum with two heads; makes a sound of indefinite but very low pitch	0.629	14	10
n09842629	bn:00008939n	n	bassist	bassista	a musician who play the bass viol	0.916	11	7
n04986796	bn:00008911n	n	bass	basso	the lowest part of the musical range	0.712	8	6
n06872354	bn:00008916n	n	bass, bass_voice, basso	basso, base, voce_di_basso	the lowest adult male singing voice	0.875	5	5
n07032292	bn:00008912n	n	bass, bass_part	basso, parte_di_basso	the lowest part in polyphonic music	1.0	3	7
n09842528	bn:00008913n	n	bass, basso	basso, voce_di_basso	an adult male singer with the lowest voice	0.5	12	8
n07032556	bn:00008940n	n	figured_bass, basso_continuo, continuo, thorough_bass	basso_cifrato, basso_numerato	a bass part written out in full and accompanied by numbers to indicate the chords to be played	0.867	4	8
n02804123	bn:00008923n	n	bass_guitar	basso_elettrico, basso, chitarra_basso	the guitar with six strings that has the lowest pitch	0.678	13	9
n07032426	bn:00041892n	n	ground_bass	basso_ostinato	a short melody in the bass that is constantly repeated	0.871	4	8
n09815188	bn:00006506n	n	asshole, bastard, cocksucker, dickhead, shit, mother_fucker, motherfucker, prick, whoreson, son_of_a_bitch, SOB	bastardo, idiota, imbecille, merda, pezzo_di_merda, stronzo, testa_di_cazzo	insulting terms of address for people who are stupid or irritating or ridiculous	0.231	10	6
v01880673	bn:00083262v	v	beat	battere	indicate by beating, as with the fingers or drumsticks	0.8	99	99
v01726879	bn:00083265v	v	beat	battere, colpire	produce a rhythm by striking repeatedly	1.0	99	99
n07086518	bn:00009396n	n	rhythm, beat, musical_rhythm	battere, levare, ritmo_musicale, ritmi, ritmo, tempo	the basic rhythmic unit in a piece of music	0.544	7	5
n10036929	bn:00028909n	n	drummer	batterista, tamburino, tamburo	someone who plays a drum	0.503	12	8
n06864725	bn:00008465n	n	measure, bar	battuta_musicale, battuta, misura, tempo, compás	musical notation for a repeating pattern of musical beats	0.736	7	7
n07063101	bn:00009460n	n	bop, bebop	be-bop, be_bop, bebop, bop	an early form of modern jazz (originating around 1940)	0.775	4	7
n11305159	bn:00009511n	n	Smetana, Bedrich_Smetana	bedrich_smetana, friedrich_smetana, smetna, smétana, bedřich_smetana, bedřich_smétana	Czech composer (1824-1884)	0.417	12	8
