wn_synset	babelnet_id	pos	lemmata en	lemmata nl	definition	confidence	dist_from_music	dist_from_entity																	
wn:10858333n	bn:00002571n	n	Borodin, Aleksandr_Borodin, Aleksandr_Porfirevich_Borodin	aleksandr_borodin, borodin, alexander_borodin, aleksander_borodin, aleksandr_porfirevich_borodin	Russian composer (1833-1887)	0,339	12	8	NO																
wn:11289830n	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	aleksandr_skrjabin, scriabin, alexander_scriabin, skriabin, alexander_skriabin, alexander_nikolajevitsj_skrjabin, alexander_skrjabin, aleksandr_nikolajevitsj_skrjabin	Russian composer of orchestral and piano music (1872-1915)	0,516	12	8	NO																
wn:11242321n	bn:00002716n	n	Pons, Lily_Pons, Alice-Josephine_Pons	lily_pons, alice-josephine_pons	United States coloratura soprano (born in France) (1904-1976)	0,488	14	10	NO																
wn:06865049n	bn:00002805n	n	alla_breve	alla_breve, 2/2, doorgeslagen_maat	a musical time signature indicating two or four half notes to a measure	0,778	8	8	YES																
wn:15264891n	bn:00002825n	n	allegretto	allegretto	a quicker tempo than andante but not as fast as allegro	1	8	6	YES																
wn:07039949n	bn:00002826n	n	allegretto	allegretto	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro	0,767	2	6	YES																
wn:15265021n	bn:00002827n	n	allegro	allegro	a brisk and lively tempo	1	8	6	YES																
wn:07039770n	bn:00002828n	n	allegro	allegro	a musical composition or musical passage to be performed quickly in a brisk lively manner	0,762	2	6	YES																
wn:07239183n	bn:00002915n	n	allocution	toespraak	(rhetoric) a formal or authoritative address that advises or exhorts	0	9	7	NO																
wn:09786115n	bn:00003145n	n	alto	alt	a singer whose voice lies in the alto clef	1	12	8	YES																
wn:06872905n	bn:00003146n	n	contralto, alto	contra-alt, alt	the lowest female singing voice	1	5	5	YES																
wn:06872785n	bn:00003147n	n	countertenor, alto	contratenor, altus	the highest adult male singing voice	0,5	5	5	YES																
wn:06863086n	bn:00003150n	n	alto_clef, viola_clef	alto_clef, altviool_clef	a clef that puts middle C on the third line of a staff	0,713	8	8	YES																
wn:09786226n	bn:00003152n	n	alto_saxophonist, altoist	altist, altsaxofonist, altoist, altsaxofoon, altsax	a musician who plays the alto saxophone	0,882	12	8	YES																
wn:11180209n	bn:00003155n	n	Miller, Glenn_Miller, Alton_Glenn_Miller	glenn_miller, glenn_miller_band, alton_glenn_miller	United States bandleader of a popular big band (1909-1944)	0,499	13	9	NO																
wn:02700895n	bn:00003237n	n	Amati	Amati	a violin made by Nicolo Amati or a member of his family	0,5	15	11	YES																
wn:05125377n	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	bereik, omvang, invloedssfeer, domein, draagwijdte, begrensd_gebied, gebied, reikwijdte, raam, toonbereik, scope, begrensde_ruimte, vakgebied	"an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""	0,681	8	6	NO																
wn:02701730n	bn:00003442n	n	American_organ	diatonisch_accordeon, amerikaanse_orgel, pomp_orgel	a free-reed instrument in which air is drawn in through reeds by suction bellows	0,531	14	10	YES																
wn:09789304n	bn:00003586n	n	amorist	amorist	one dedicated to love and lovemaking especially one who writes about love	0,25	10	6	NO																
wn:05861067n	bn:00003604n	n	sum, amount, total	som, totaal, aantal, bedrag	a quantity obtained by the addition of a group of numbers	0,191	10	8	NO																
wn:11512144n	bn:00003670n	n	nonlinear_distortion, amplitude_distortion	amplitudevervorming, niet-lineaire_vervorming	distortion that occurs when the output signal does not have a linear relation to the input signal	0,053	12	8	YES																
wn:00429048n	bn:00003693n	n	entertainment, amusement	amusement, vermaak, entertainment, vertier, verstrooiing, vermakelijkheid, kijkgenot, entertainers, onderhoudend, vermaken	an activity that is diverting and that holds the attention	0,104	9	7	YES																
wn:15265219n	bn:00003939n	n	andante	andante	a moderately slow tempo (a walking pace)	1	8	6	YES																
wn:07040148n	bn:00003940n	n	andante	andante	a musical composition or musical passage to be performed moderately slow	0,764	2	6	YES																
wn:10817458n	bn:00003948n	n	Anderson, Marian_Anderson	marian_anderson	United States contralto noted for her performance of spirituals (1902-1993)	0,313	13	9	NO																
wn:11291284n	bn:00003981n	n	Segovia, Andres_Segovia	andres_segovia, andrés_segovia, segovia	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0,176	12	8	NO																
wn:11136405n	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	andrew_lloyd_webber, lloyd_webber, baron_lloyd_webber_van_sydmonton	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0,401	12	8	NO																
wn:02712907n	bn:00004256n	n	animalization		a depiction in the form of an animal	0,769	13	9	NO																
wn:09795124n	bn:00004355n	n	announcer	presentator, omroeper	reads news, commercials on radio or television	0,112	10	6	NO																
wn:07048928n	bn:00004526n	n	anthem	anthem, strijdlied, volkslied, anthems	a song of devotion or loyalty (as to a nation or school)	0,461	3	7	YES																
wn:07035870n	bn:00004527n	n	hymn, anthem	hymne, lofzang, gezang, loflied, tussenzang, kerkzang, kerkgezang, cantus, hymnodist, hymnwriter, hymnist, hymnen, hymnographer, christelijke_hymne	a song of praise (to God or to a saint or to a nation)	0,196	4	7	YES																
wn:09796185n	bn:00004578n	n	anthropoid, ape	mensaap, apin	person who resembles a nonhuman primate	0,25	10	6	NO																
wn:07033245n	bn:00004714n	n	antiphon, antiphony	antifoon, antiphonale, antifonarium, polychoral, tegenzang, antifonen	a verse or song to be chanted or sung in response	0,282	3	6	YES																
wn:07048782n	bn:00004716n	n	antiphony	antifoon, tegenzang	alternate (responsive) singing by a choir in two parts	0,6	1	5	YES																
wn:10938640n	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	fats_domino, antoine_dominique_domino, antoine_domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0,649	12	8	NO																
wn:10868025n	bn:00004769n	n	Bruckner, Anton_Bruckner	anton_bruckner, bruckner, josef_anton_bruckner, anton_brückner	Austrian organist and composer of romantic music (1824-1896)	0,528	12	8	NO																
wn:11273286n	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	anton_rubinstein, anton_grigorevitsj_rubinstein, anton_rubinstein_grigorevich, anton_rubenstein, anton_rubinstein_gregor	Russian composer and pianist (1829-1894)	0,504	12	8	NO																
wn:10946961n	bn:00004773n	n	Dvorak, Antonin_Dvorak	antonin_dvorak, antonín_dvo_ák, antonin_dvo_ák, antonin_dvorák, antonin_dvorak., antonín_dvorák, dvorak	Czech composer who combined folk elements with traditional forms (1841-1904)	0,496	12	8	NO																
wn:11367910n	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	antonio_vivaldi, antonio_lucio_vivaldi, vivaldi	Italian baroque composer and violinist (1675-1741)	0,369	12	8	NO																
wn:11320821n	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	antonio_stradivari, stradivarius, antonio_stradivarius, stradivari, antonius_stradivarius	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0,26	11	7	NO																
wn:00549472n	bn:00004860n	n	apery, mimicry	apenspel	"the act of mimicking; imitative behavior"	0,167	10	8	NO																
wn:06691989n	bn:00005053n	n	applause, hand_clapping, clapping	applaus, handgeklap, klappen, handklap, applaudiseren, geklap, handclaps	a demonstration of approval by clapping the hands together	0,327	5	5	YES																
wn:05126066n	bn:00005163n	n	approximate_range, ballpark	benadering_bereik	near to the scope or range of something	1	9	7	NO																
wn:11103648n	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	aram_khachaturian, khachaturian, aram_chatsjatoerjan, aram_katjaturian, katjaturian, aram_iljitsj_khachaturian, aram_katsjatoerian, aram_katsjatoerjan, chatsjatoerian, hachaturjan, aram_iljitsj_hachaturjan, katsjatoerjan, katsjatoerian, aram_chatsjatoerian, aram_khachaturian_ilich	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0,358	12	8	NO																
wn:11095587n	bn:00005303n	n	Kachaturian, Aram_Kachaturian	aram_kachaturian, kachaturian	Armenian composer who incorporated oriental folk music (1903-1978)	0,357	12	8	NO																
wn:10910948n	bn:00005378n	n	Corelli, Arcangelo_Corelli	arcangelo_corelli, corelli	Italian violinist and composer of violin concertos (1653-1713)	0,496	12	8	NO																
wn:07049514n	bn:00005624n	n	aria	aria, ariëtta, arietta, aria's	an elaborate song for solo voice	0,78	3	7	YES																
wn:07049634n	bn:00005638n	n	arietta, short_aria	korte_aria, arietta	a short aria	1	4	8	YES																
wn:07087508n	bn:00005646n	n	arioso	arioso	(music) a short recitative that is melodic but is not an aria	0,841	4	8	YES																
wn:09809134n	bn:00005799n	n	arms_manufacturer	wapenfabrikant	someone who manufactures arms and munitions	0,01	11	7	NO																
wn:10823199n	bn:00005802n	n	Armstrong, Louis_Armstrong, Satchmo	louis_armstrong, satchmo, louis_daniel_armstrong	United States pioneering jazz trumpeter and bandleader (1900-1971)	0,416	12	8	NO																
wn:11285902n	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	arnold_schoenberg, arnold_schonberg, arnold_schönberg, schoenberg, schonberg	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0,503	12	8	NO																
wn:06869610n	bn:00005858n	n	arpeggio	arpeggio, gebroken_akkoord, gebroken_drieklank, gebroken_akkoorden, arpeggio's, arpeggiation	a chord whose notes are played in rapid succession rather than simultaneously	0,771	9	9	YES																
wn:07038400n	bn:00005865n	n	musical_arrangement, arrangement	arrangement, arrangeren, toonzetting, arrangeur, bewerking, zetting, arrangeurs, muzikaal_arrangement, muzikale_arrangement, regelen	a piece of music that has been adapted for performance by a particular set of voices or instruments	0,823	2	6	YES																
wn:00939628n	bn:00005866n	n	arrangement, arranging, transcription	transcriptie, arrangement, regeling, bewerking, arrangeren, regelen	the act of arranging and adapting a piece of music	0,795	11	9	YES																
wn:00048225n	bn:00005885n	n	arrival, reaching	arrival	accomplishment of an objective	0,828	9	7	NO																
wn:07065333n	bn:00005947n	n	progressive_rock, art_rock	progressieve_rock, art_rock, prog-rock, prog_rock, artrock, neo-prog, progressive_rock, progrock, art-rock, progressieve-rockband, progressieve-rockgroep, neoprog, progressieve-rock, new_prog, progressieve_hardrock, retro-prog, kunst_pop, prog, nieuwe_prog	"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing"	0,833	4	7	YES																
wn:11332688n	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	art_tatum, arthur_tatum	"United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)"	0,633	12	8	NO																
wn:10970488n	bn:00006095n	n	Fiedler, Arthur_Fiedler	arthur_fiedler, fiedler	popular United States conductor (1894-1979)	0,469	12	8	NO																
wn:11057679n	bn:00006098n	n	Honegger, Arthur_Honegger	arthur_honegger, honegger, arthur_honneger, honneger, oscar-arthur_honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0,359	12	8	NO																
wn:11296429n	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	artie_shaw, arthur_jacob_arshawsky	United States clarinetist and leader of a swing band (1910-2004)	0,494	12	8	NO																
wn:11273479n	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	arthur_rubinstein, artur_rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0,49	12	8	NO																
wn:11324212n	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	arthur_sullivan, arthur_seymour_sullivan, sir_arthur_sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0,617	12	8	NO																
wn:06392935n	bn:00006123n	n	article, clause	artikel, clausule, lidwoord, bijzin	a separate section of a legal document (as a statute or contract or will)	0,182	2	6	NO																
wn:11285456n	bn:00006198n	n	Schnabel, Artur_Schnabel	artur_schnabel, schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0,639	12	8	NO																
wn:11346257n	bn:00006199n	n	Toscanini, Arturo_Toscanini	arturo_toscanini, toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0,599	12	8	NO																
wn:09815188n	bn:00006506n	n	asshole, bastard, cocksucker, dickhead, shit, mother_fucker, motherfucker, prick, whoreson, son_of_a_bitch, SOB	klootzak, lul, klerelijer, individu, fluim, klootspiraal, schoft, schoelje, tyfuslijer, kankerlijer, lelijkerd, lazerstraal, onverlaat, lamgat, loeder, hondenlul, smiecht, serpent, lamstraal, hoerenjong, sekreet, kwal, zak, patjakker, mogool, plurk, smeerlap, vuilak, rotzak, reptiel, ellendeling, gemenerik, kelerelijer, pokkenlijer, lulhannes, pleurislijder, fielt, rasploert, hondelul, hond, debiel, ploert, etter, lulletje, lamzak, etterbak, kloothommel, lazersteen, miesgasser, pokkenlijder, lammeling, mispunt, etterbuil, teringlijder, naarling, beroerling, eikel, moederneuker, paardenlul, paardelul, pokkenvent, zakkenwasser, kelerelijder, zwijn, mother_fucker, dickhead	insulting terms of address for people who are stupid or irritating or ridiculous	0,231	10	6	NO																
wn:06864014n	bn:00006943n	n	atonality, atonalism	atonaliteit, atonale_muziek, atonaal, atonale, atonalism	"the absence of a key; alternative to the diatonic system"	0,663	7	7	YES																
wn:00048656n	bn:00007007n	n	attainment		arrival at a new stage	0,5	10	8	NO																
wn:06278136n	bn:00007101n	n	audio, sound	sont, geluid	the audible part of a transmitted signal	0,5	2	4	YES																
wn:04262678n	bn:00007103n	n	sound_recording, audio_recording, audio	geluidsopname, audio-opname, geluidsopnamen, audio_opslag, geluidsopname_en_weergave, opgenomen_geluid	a recording of acoustic signals	0,252	13	9	YES																
wn:02757462n	bn:00007108n	n	audio_system, sound_system	geluidssysteem, omroepinstallatie, geluidsopnamen, audio_opslag, audiosysteem, geluidsopname_en_weergave, opgenomen_geluid	a system of electronic equipment for recording or reproducing sound	0,314	11	7	YES																
wn:02757810n	bn:00007114n	n	audiotape	audiotape, geluidsband	a tape recording of sound	1	14	10	YES																
wn:00794614n	bn:00007121n	n	audition, tryout	auditie, audities, cattle_call	a test of the suitability of a performer	0,421	10	8	YES																
wn:07109019n	bn:00007129n	n	auditory_communication	auditieve_communicatie	communication that relies on hearing	0,333	1	3	NO																
wn:05711503n	bn:00007133n	n	auditory_perception, sound_perception	auditieve_perceptie, geluidsperceptie, psycho-akoestisch_model, auditieve_waarneming, psychoakoestiek	the perception of sound as a meaningful phenomenon	0,086	9	7	YES																
wn:05718254n	bn:00007134n	n	sound, auditory_sensation	geluid, klank, auditieve_sensatie	the subjective sensation of hearing something	0,714	10	8	YES																
wn:07030376n	bn:00007149n	n	augmentation	augmentatie, vergroting	the statement of a theme in notes of greater duration (usually twice the length of the original)	0,882	4	8	NO																
wn:04063154n	bn:00007310n	n	record_changer, auto-changer, changer	wisselaar, -wisselaar, opname-wisselaar	an automatic mechanical device on a record player that causes new records to be played without manual intervention	0,4	13	9	YES																
wn:08465558n	bn:00007432n	n	avant-garde, vanguard, van, new_wave	avant-garde, avant_garde, avant-gardisme, new_wave, voorhoede, avantgarde, avant-garde_kunst, avant-gardistische, new_wave_muziek	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0,471	8	6	YES																
wn:09826074n	bn:00007443n	n	avenger, retaliator	wreker, retaliator	someone who takes vengeance	0,375	11	7	NO																
wn:11105298n	bn:00007606n	n	King, B._B._King, Riley_B_King	b._b._king, b.b._king, riley_b_king, bb_king, riley_ben_king, riley_b._king, b.b.king, b.b_king, b_b_king	United States guitar player and singer of the blues (born in 1925)	0,519	12	8	NO																
wn:09829798n	bn:00007689n	n	bacchant, bacchanal		"a drunken reveller; a devotee of Bacchus"	0,5	10	6	NO																
wn:10830229n	bn:00007700n	n	Bach, Johann_Sebastian_Bach	johann_sebastian_bach, bach, johan_sebastian_bach, johann_sebastiaan_bach, j.s._bach, johan_sebastiaan_bach, j.s.bach	"German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)"	0,456	12	8	NO																
wn:07277915n	bn:00007701n	n	Bach		the music of Bach	1	1	5	NO																
wn:07086861n	bn:00007760n	n	backbeat	backbeat	a loud steady beat	0,805	8	6	YES																
wn:09830629n	bn:00007806n	n	backpacker, packer	backpacker, rugzakreiziger	a hiker who wears a backpack	0,167	11	7	NO																
wn:02771004n	bn:00007821n	n	backspace_key, backspace, backspacer	backspace, terugtoets, terugsteltoets, backspace-toets, backspacer	the typewriter key used for back spacing	0,495	14	10	NO																
wn:07042498n	bn:00007935n	n	bagatelle	bagatelle, onbenulligheid	a light piece of music for piano	0,865	2	6	YES																
wn:02775483n	bn:00007953n	n	bagpipe	doedelzak, doedel, pijpzak	"a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone"	0,289	14	10	YES																
wn:10435041n	bn:00007954n	n	piper, bagpiper	doedelzakspeler, doedelzakblazer, liervis, schelvisduivel	someone who plays the bagpipe	0,8	11	7	YES																
wn:10831363n	bn:00007977n	n	Bailey, Pearl_Bailey, Pearl_Mae_Bailey	pearl_mae_bailey, pearl_bailey	United States singer (1918-1990)	1	12	8	NO																
wn:02776978n	bn:00008042n	n	balalaika	balalaika	a stringed instrument that has a triangular body and three strings	0,361	14	10	YES																
wn:07049713n	bn:00008153n	n	ballad, lay	ballade, power_ballad, rock_ballad, pop_ballad, ballad, ballads, power_ballads	a narrative song with a recurrent refrain	0,4	3	7	YES																
wn:10624540n	bn:00008155n	n	songwriter, songster, ballad_maker	songwriter, liedjesschrijver, liedschrijver, songwriters, songwriting, verzenmaker, tekstdichten, ballad_maker, song-writer	a composer of words or music for popular songs	0,722	12	8	YES																
wn:06378427n	bn:00008156n	n	ballade	refrein, ballade	a poem consisting of 3 stanzas and an envoy	0,67	7	7	YES																
wn:09980090n	bn:00008157n	n	crooner, balladeer	crooner, crooners, crooning, smartlapzanger, volkszanger, balladeer, croon	a singer of popular ballads	0,772	12	8	YES																
wn:07054336n	bn:00008166n	n	ballet	ballet, balletmuziek	music written for a ballet	1	1	5	YES																
wn:07060697n	bn:00008208n	n	dance_music, danceroom_music, ballroom_music	ballroom_muziek, danceroom_muziek	a genre of popular music composed for ballroom dancing	1	3	6	YES																
wn:07376257n	bn:00008250n	n	bang, clap, eruption, blast, bam	klap, slag, smak, ontploffing, stoot, bons	a sudden very loud noise	0,667	9	7	YES																
wn:08249038n	bn:00008280n	n	band	band, muziekgroep, groep, bandje, bar_band, instrumentaal_ensemble, muziek_ensemble, muzikale_band, solo-project, pop_rock_band, muzikaal_ensemble, rock_bands, pop_band, solo-artiest	instrumentalists not including string players	0,894	8	6	YES																
wn:08249960n	bn:00008283n	n	dance_band, band, dance_orchestra	dansorkest, dance_orchestra, dance_band	a group of musicians playing popular music for dancing	0,875	8	6	YES																
wn:09837088n	bn:00008314n	n	bandit, brigand	bandiet, struikrover, picaro, schurk, gauwdief, rover	an armed thief who is (usually) a member of a band	0,165	13	9	NO																
wn:09837201n	bn:00008316n	n	bandleader	bandleider, orkestleider, orkestleidster	the leader of a dance band	0,946	12	8	YES																
wn:09837360n	bn:00008317n	n	bandmaster	kapelmeester	the conductor of a band	0,355	12	8	YES																
wn:02786736n	bn:00008319n	n	bandoneon	bandoneon, bandoneón, bandoneonist	a type of concertina popular in South America	0,448	15	11	YES																
wn:09837459n	bn:00008320n	n	bandsman	muzikant	a player in a band (especially a military band)	0,75	11	7	YES																
wn:07376539n	bn:00008343n	n	banging	bonzend	a continuing very loud noise	1	9	7	YES																
wn:07053606n	bn:00008435n	n	scolion, banquet_song	skolion, scolion, banket_lied	a song (sometimes improvised) sung by guests at a banquet	0,148	3	7	YES																
wn:06864725n	bn:00008465n	n	measure, bar	maat, driekwartsmaat, bar, maatstreep, maatregel	musical notation for a repeating pattern of musical beats	0,736	7	7	YES																
wn:06800698n	bn:00008483n	n	bar_line	maatstreep	a vertical line before the accented beat marking the boundary between musical bars	0,752	6	6	YES																
wn:10834439n	bn:00008533n	n	Barber, Samuel_Barber	samuel_barber	United States composer (1910-1981)	0,547	12	8	NO																
wn:08247400n	bn:00008541n	n	barbershop_quartet	barbershop_quartet, barbershop_muziek	an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony	0,47	9	7	YES																
wn:11322178n	bn:00008549n	n	Streisand, Barbra_Streisand, Barbra_Joan_Streisand	barbra_streisand, streisand, barbara_streisand, barbra_streisand_joan	United States singer and actress (born in 1942)	0,309	12	8	NO																
wn:07049931n	bn:00008552n	n	barcarole, barcarolle	barcarolle, barcarole, gondellied, barcarola	a boating song sung by Venetian gondoliers	0,738	3	7	YES																
wn:09839436n	bn:00008586n	n	baritone, barytone	bariton, baritons, lyrische_bariton	a male singer	0,913	12	8	YES																
wn:06872562n	bn:00008587n	n	baritone, baritone_voice	bariton	the second lowest adult male singing voice	0,5	5	5	YES																
wn:02793089n	bn:00008588n	n	baritone, baritone_horn	bariton, tenorsaxhoorn, baritontuba, bariton_hoorn, euphonium_en_bariton	the second lowest brass wind instrument	0,629	14	10	YES																
wn:07376731n	bn:00008595n	n	bark		a noise resembling the bark of a dog	0,25	9	7	NO																
wn:10834869n	bn:00008632n	n	Barnum, P._T._Barnum, Phineas_Taylor_Barnum	phineas_taylor_barnum, p.t._barnum, barnum, p._t._barnum	United States showman who popularized the circus (1810-1891)	0,054	14	10	NO																
