wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:05258627n	bn:00049233n	n	spit_curl, kiss_curl	caracolillo, rizo	a spiral curl plastered on the forehead or cheek	0.25	14	10	NO
wn:04186624n	bn:00070944n	n	shawm	caramillo, chirimía	a medieval oboe	0.438	17	13	YES
wn:03006626n	bn:00017700n	n	chanter, melody_pipe	caramillo, punteiro	reed pipe with finger holes on which the melody is played	0.786	14	10	YES
wn:07055203n	bn:00016086n	n	carioca	carioca	music composed for dancing the carioca	1.0	2	6	YES
wn:00535455n	bn:00016087n	n	carioca	carioca	a lively ballroom dance that resembles the samba	0.513	12	10	YES
wn:11207006n	bn:00016092n	n	Nielsen, Carl_Nielsen, Carl_August_Nielsen	carl_august_nielsen, carl_nielsen	Danish composer (1865-1931)	0.605	12	8	NO
wn:10920366n	bn:00024934n	n	Czerny, Karl_Czerny	carl_czerny, czerny, karl_czerny	Austrian virtuoso pianist and composer of many works for the piano; studied with Beethoven and was a teacher of Liszt (1791-1857)	0.634	12	8	NO
wn:11216386n	bn:00016097n	n	Orff, Carl_Orff	carl_orff, karl_orff	German musician who developed a widely used system for teaching music to children (1895-1982)	0.335	11	7	NO
wn:11005320n	bn:00016108n	n	Goldoni, Carlo_Goldoni	carlo_goldoni, goldoni	prolific Italian dramatist (1707-1793)	0.142	11	7	NO
wn:10894365n	bn:00016110n	n	Chavez, Carlos_Chavez	carlos_chavez, chavez, chávez, carlos_chávez, carlos_antonio_de_padua_chavez_y_ramirez, carlos_antonio_de_padua_chávez_y_ramírez	Mexican composer of nationalistic works using themes from Indian folk music (1899-1978)	0.468	12	8	NO
wn:10882846n	bn:00016120n	n	Carmichael, Hoagy_Carmichael, Hoagland_Howard_Carmichael	carmichael, hoagy_carmichael, hohagland_howard_carmichael	United States songwriter (1899-1981)	1.0	13	9	NO
wn:09896311n	bn:00016079n	n	carillonneur	carrillonero	a musician who plays a carillon	0.209	11	7	YES
wn:10885831n	bn:00016382n	n	Casals, Pablo_Casals	casals, pablo_casals, pau_carles_salvador_casals, pau_casals_defillo, pau_casals_i_defillo, pau_casals, pau_casals_defilló, pau_casals_i_defilló	an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)	0.362	12	8	NO
wn:04236935n	bn:00016387n	n	sleigh_bell, cascabel	cascabel	a bell attached to a sleigh, or to the harness of a horse that is pulling a sleigh	0.349	13	9	YES
wn:10886222n	bn:00016450n	n	Cash, Johnny_Cash, John_Cash	cash, john_cash, johnny_cash, johnny_el_vergadura, discografía_de_johnny_cash	United States country music singer and songwriter (1932-2003)	0.49	12	8	NO
wn:04391838n	bn:00076101n	n	tape, tape_recording, taping	cassete, cinta	a recording made on magnetic tape	0.219	13	9	YES
wn:09899534n	bn:00016586n	n	castrato	castrados, castrati, castrato	a male singer who was castrated before puberty and retains a soprano or alto voice	0.351	12	8	YES
wn:10176357n	bn:00014133n	n	hillbilly, bushwhacker	cateto, hillbilly, paleto, palurdo, chúntaro	a disparaging term for an unsophisticated person	0.237	10	6	NO
wn:00319939n	bn:00017920n	n	pursuit, chase, pursual, following	caza, perseguimiento, seguimiento, persecución	the act of pursuing in an effort to overtake or capture	0.5	10	8	NO
wn:02990758n	bn:00017003n	n	celesta	celesta	a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard	0.696	13	9	YES
wn:02992211n	bn:00017047n	n	cello, violoncello	cello, chelo, violoncello, violoncelo, violonchelo, violón	a large stringed instrument; seated player holds it upright while playing	0.55	14	10	YES
wn:04419642n	bn:00076846n	n	theremin	ceremin, teremin, theremin, eterófono	an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing	0.504	13	9	YES
wn:09874014n	bn:00013027n	n	brewer	cervecero	the owner or manager of a brewery	1.0	11	7	NO
wn:10978693n	bn:00017402n	n	Franck, Cesar_Franck	cesar_franck, césar_franck	French composer and teacher who influenced a generation of composers (1822-1890)	0.468	12	8	NO
wn:11333762n	bn:00061805n	n	Tchaikovsky, Peter_Tchaikovsky, Peter_Ilich_Tchaikovsky, Pyotr_Tchaikovsky, Pyotr_Ilych_Tchaikovsky	chaikovski, piotr_chaikovski, piotr_ilich_chaikovski, piotr_ilich_tchaikovski, piotr_tchaikoswky, piotr_tchaikovsky, pyotr_tchaikovsky, tchaikovsky	important Russian composer whose works are noted for their expressive melodies (1840-1893)	0.446	12	8	NO
wn:02186868v	bn:00093903v	v	splash, splosh, slosh, slush	chapotear	make a splashing sound	1.0	99	99	YES
wn:07395104n	bn:00062837n	n	splash, plash	chapoteo	the sound like water splashing	0.087	9	7	YES
wn:07395867n	bn:00073775n	n	squish	chapoteo	the noise of soft mud being walked on	0.5	9	7	YES
wn:07240549n	bn:00050486n	n	lecture, public_lecture, talk	charla, conferencia, lectura, lectura_pública	a speech that is open to the public	0.0	9	7	NO
wn:11075670n	bn:00017847n	n	Ives, Charles_Edward_Ives	charles_edward_ives, charles_ives	United States composer noted for his innovative use of polytonality (1874-1954)	0.485	12	8	NO
wn:11009635n	bn:00017852n	n	Gounod, Charles_Francois_Gounod	charles_francois_gounod, charles_gounod, gounod, guno_sharl_fransua, charles_françois_gounod	French composer best remembered for his operas (1818-1893)	0.391	12	8	NO
wn:09138538n	bn:00017880n	n	Charleston	charleston	a port city in southeastern South Carolina	0.48	11	7	NO
wn:11222914n	bn:00010640n	n	Parker, Charlie_Parker, Yardbird_Parker, Bird_Parker, Charles_Christopher_Parker	charlie_parker, parker	United States saxophonist and leader of the bop style of jazz (1920-1955)	0.607	12	8	NO
wn:02182851v	bn:00085938v	v	snap, crack	chasquear, crujir, restallar, castañetear	make a sharp sound	0.5	99	99	YES
wn:07394236n	bn:00072392n	n	snap	chasquido, crujido	the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand	0.4	9	7	YES
wn:07381423n	bn:00023462n	n	crack, cracking, snap	chasquido, crujido, estallido	a sudden sharp noise	1.0	9	7	NO
wn:09903501n	bn:00017046n	n	cellist, violoncellist	chelista, violoncelista, violonchelista	someone who plays a violoncello	0.551	11	7	YES
wn:10894905n	bn:00018191n	n	Cherubini, Luigi_Cherubini, Maria_Luigi_Carlo_Zenobio_Cherubini	cherubini, luigi_cherubini	Italian composer of church music and operas (1760-1842)	0.481	12	8	NO
wn:06806098n	bn:00081042n	n	whistle, whistling	chiflido, silbido	the act of signalling (e.g., summoning) by whistling or blowing a whistle	0.495	4	4	YES
wn:07393589n	bn:00071346n	n	shrilling	chillido	a continuing shrill noise	1.0	9	7	YES
wn:07392982n	bn:00069819n	n	scrape, scraping, scratch, scratching	chirriante, chirrido, rascadura, arañazo	a harsh noise made by scraping	0.229	9	7	YES
wn:07393161n	bn:00069842n	n	screech, screeching, shriek, shrieking, scream, screaming	chirrido, grito	a high-pitched noise resembling a human cry	0.935	9	7	YES
wn:07384244n	bn:00041458n	n	grate	chirrío	a harsh rasping sound made by scraping something	0.333	9	7	YES
wn:07393919n	bn:00071894n	n	sizzle	chisporroteo	a sizzling noise	1.0	9	7	YES
wn:07394814n	bn:00073160n	n	spatter, spattering, splatter, splattering, sputter, splutter, sputtering	chisporroteo, chorreo, salpicadura	the noise of something spattering or sputtering explosively	1.0	9	7	YES
wn:02088627v	bn:00085976v	v	crash	chocar, colisionar, estrellarse, quebrarse	move with, or as if with, a crashing noise	1.0	99	99	NO
wn:07278256n	bn:00018729n	n	Chopin	chopin	the music of Chopin	1.0	1	5	NO
wn:10896644n	bn:00018731n	n	Chopin, Frederic_Francois_Chopin	chopin, frederic_chopin, fryderyk_chopin, fryderyk_franciszek_chopin, frédéric_chopin, frederic_françois_chopin, frédéric_françois_chopin	French composer (born in Poland) and pianist of the romantic school (1810-1849)	0.421	12	8	NO
wn:07057095n	bn:00069651n	n	schottische	chotis	music performed for dancing the schottische	0.382	4	7	YES
wn:11002548n	bn:00018856n	n	Gluck, Christoph_Willibald_von_Gluck	christoph_willibald_gluck, christoph_willibald_von_gluck, cristoph_gluck, gluck	German composer of more than 100 operas (1714-1787)	0.418	12	8	NO
wn:07379852n	bn:00018980n	n	chug	chug, resoplido	the dull explosive noise made by an engine	0.667	9	7	NO
wn:10070711n	bn:00032233n	n	exhibitionist, show-off	chulapo, chuleta, chulo, compadre, exhibicionista, fachendista, fachendoso, fachenda, fafarechero, farolero, pinturero, principote, fardón, figurón, papelón, vacilón, chulapón	someone who deliberately behaves in such a way as to attract attention	0.429	11	7	NO
wn:00210797n	bn:00019920n	n	finale, close, closing_curtain, finis	cierre, final, conclusión, cierre_del_telón	the concluding part of any performance	0.689	13	11	YES
wn:09986450n	bn:00024793n	n	cymbalist	cimbalero, cimbalista	a performer on the cymbals	1.0	12	8	YES
wn:03195959n	bn:00025313n	n	digital_audiotape, DAT	cinta de audio digital, DAT	a digital tape recording of sound	1.0	15	11	YES
wn:02757810n	bn:00007114n	n	audiotape	cinta_de_audio	a tape recording of sound	1.0	14	10	YES
wn:04534359n	bn:00079978n	n	videotape	cinta_de_video, cintas_de_video, tape, video-cassette, video_cassette, videocasete, videocintas, videocinta, videotape, video, cinta_de_vídeo, cintas_de_vídeo	a relatively wide magnetic tape for use in recording visual images and associated sound	0.114	13	9	NO
wn:04534520n	bn:00079977n	n	videotape	cinta_de_video, videocinta	a video recording made on magnetic tape	0.5	14	10	NO
wn:03035832n	bn:00019280n	n	cittern, cithern, cither, citole, gittern	cistro, citole, guiterna, cítara	a 16th century musical instrument resembling a guitar with a pear-shaped soundbox and wire strings	0.321	14	10	YES
wn:07379963n	bn:00019390n	n	clack, clap	claqueteo, palmada	a sharp abrupt noise as if two objects hit together; may be repeated	0.75	9	7	YES
wn:11287186n	bn:00019443n	n	Schumann, Clara_Josephine_Schumann	clara_schumann_trean, clara_schumann, clara_wieck, schumann	German pianist and composer of piano music; renowned for her interpretation of music, especially the music of her husband Robert Schumann (1819-1896)	0.493	12	8	NO
wn:02803539n	bn:00008919n	n	bass_clarinet	clarinete_bajo	a large clarinet whose range is an octave below the B-flat clarinet	0.804	17	13	YES
wn:02803809n	bn:00008931n	n	basset_horn	clarinete_tenor	a tenor clarinet; pitched in the key of F below the B-flat clarinet	0.729	17	13	YES
wn:09926246n	bn:00019457n	n	clarinetist, clarinettist	clarinetista, clarinete	a musician who plays the clarinet	1.0	11	7	YES
wn:11187364n	bn:00019600n	n	Monteverdi, Claudio_Monteverdi	claudio_monteverdi, monteverdi, claudio_giovanni_antonio_monteverdi	Italian composer (1567-1643)	0.398	12	8	NO
wn:00715541v	bn:00091005v	v	pin_down, peg_down, nail_down, narrow_down, narrow, specify	clavar, especificar, identificar_exactamente, reducir	define clearly	1.0	99	99	NO
wn:06863209n	bn:00014399n	n	C_clef	clave de C	a movable clef that puts middle C on one of the lines of a staff	0.713	8	8	YES
wn:06862954n	bn:00008920n	n	bass_clef, F_clef	clave de fa	a clef that puts the F below middle C on the fourth line of a staff	0.713	8	8	YES
wn:06863751n	bn:00048988n	n	key, tonality	clave, llave, sistema_tonal, tonalidad, tono	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music	0.624	7	7	YES
wn:06862805n	bn:00036968n	n	treble_clef, treble_staff, G_clef	clave_de_sol	a clef that puts the G above middle C on the second line of a staff	0.713	8	8	YES
wn:06863326n	bn:00072833n	n	soprano_clef	clave_de_soprano	a clef that puts middle C on the bottom line of the staff	0.709	8	8	YES
wn:06863442n	bn:00076536n	n	tenor_clef	clave_de_tenor, clave_de_do	a clef that puts middle C on the fourth line of the staff; used for writing music for bassoons or cellos or tenor horns	0.71	8	8	YES
wn:06862562n	bn:00019683n	n	clef	clave_musical, clave	a musical notation written on a staff indicating the pitch of the notes following it	0.717	7	7	YES
wn:10161047n	bn:00043054n	n	harpsichordist	clavecinista, clavicembalista, clavicordio, harpsicordista	someone who plays the harpsichord	0.632	11	7	YES
wn:03038870n	bn:00019611n	n	clavichord	clavicordio, manicordio	an early stringed instrument like a piano but with more delicate sound	0.476	13	9	YES
wn:10928978n	bn:00019711n	n	Delibes, Leo_Delibes, Clement_Philibert_Leo_Delibes	clement_philibert_leo_delibes, leo_delibes, léo_delibes, clément_philibert_léo_delibes	French composer of operas (1836-1891)	0.464	12	8	NO
wn:07039478n	bn:00020348n	n	finale, coda	coda, final	the closing section of a musical composition	0.784	3	7	YES
wn:03691817n	bn:00052106n	n	lounge, waiting_room, waiting_area	cola, estancia, fila, lista_de_espera, lista, sala_de_espera, área_de_colas, área_de_filas	a room (as in a hotel or airport) with seating where people can wait	0.341	12	8	NO
wn:03067912n	bn:00020593n	n	collage, montage	colaje, collages, collage, montaje, montaje_fotográfico	a paste-up made by sticking together pieces of paper or photographs to form an artistic image	0.145	12	8	NO
wn:11243268n	bn:00020570n	n	Porter, Cole_Porter, Cole_Albert_Porter	cole_albert_porter, cole_porter, porter	United States composer and lyricist of musical comedies (1891-1946)	0.371	12	8	NO
wn:11035017n	bn:00020571n	n	Hawkins, Coleman_Hawkins	coleman_hawkins, coleman_randolph_hawkins, hawkins	United States jazz saxophonist (1904-1969)	0.748	12	8	NO
wn:07239327n	bn:00020684n	n	colloquium	coloquio	an address to an academic meeting or seminar	0.0	9	7	NO
wn:04988478n	bn:00020728n	n	color, colour, coloration, colouration	color, coloración	the timbre of a musical sound	0.484	8	6	YES
wn:00546299n	bn:00020766n	n	coloratura	coloratura	singing with florid ornamentation	1.0	11	9	YES
wn:09938080n	bn:00020765n	n	coloratura, coloratura_soprano	coloratura_soprano, coloratura, soprano_de_coloratura	a lyric soprano who specializes in coloratura vocal music	0.912	13	9	YES
wn:10042300n	bn:00029543n	n	eater, feeder	comedor, feeder	someone who consumes food for nourishment	0.79	10	6	NO
wn:10013242n	bn:00027185n	n	diner	comensal	a person eating a meal (especially in a restaurant)	0.5	11	7	NO
wn:07294423n	bn:00020910n	n	deserts, comeuppance, comeupance	comeupance, merecido	an outcome (good or bad) that is well deserved	0.333	10	8	NO
wn:10687826n	bn:00027200n	n	tablemate, dining_companion	compañero_de_mesa	someone you dine with	0.5	12	8	NO
wn:08478261n	bn:00066581n	n	record_company	compañía_discográfica, discográfica	a company that makes and sells musical recordings	0.662	9	7	YES
wn:06864725n	bn:00008465n	n	measure, bar	compás, barra	musical notation for a repeating pattern of musical beats	0.736	7	7	YES
wn:04991738n	bn:00054612n	n	meter, metre, time	compás, métrica, pulsación	rhythm as given by division into parts of equal duration	0.756	8	6	YES
wn:15264264n	bn:00078339n	n	triple_time	compás_ternario	musical time with three beats in each bar	0.925	7	5	YES
wn:05868954n	bn:00021394n	n	component, constituent, element, factor, ingredient	componente, constituyente, elemento, factor, ingrediente	an abstract part of something	0.699	10	8	NO
wn:01705494v	bn:00085488v	v	compose, write	componer, escribir	write music	1.0	99	99	YES
wn:00939452n	bn:00021399n	n	composing, composition	composición	musical creation	0.667	10	8	YES
wn:09947232n	bn:00021397n	n	composer	compositora, compositor, compositor_de_música, compositora_de_música	someone who composes music as a profession	0.789	11	7	YES
wn:07109019n	bn:00007129n	n	auditory_communication	comunicación_oral, comunicación_auditiva	communication that relies on hearing	0.333	1	3	NO
wn:03802973n	bn:00056536n	n	mute	con_sordino, sordina	a device used to soften the tone of a musical instrument	0.623	12	8	YES
wn:03086670n	bn:00021567n	n	concertina	concertina, acordeón	free-reed instrument played like an accordion by pushing its ends together to force air through the reeds	0.496	14	10	YES
wn:10511649n	bn:00066538n	n	recitalist	concertista	a musician who gives recitals	1.0	12	8	YES
wn:07043389n	bn:00021569n	n	concerto_grosso	concerto_grosso, concierto_grosso	a baroque composition for orchestra and a group of solo instruments	0.812	4	7	YES
wn:07043275n	bn:00021568n	n	concerto	concierto	a composition for orchestra and a soloist	0.93	3	6	YES
wn:06892775n	bn:00021559n	n	concert	concierto, recital, actuación, representación, concierto_de_música	a performance of music by players or singers not involving theatrical staging	0.489	9	7	YES
wn:06892657n	bn:00009908n	n	benefit_concert	concierto_benéfico	a concert given for the benefit of some charitable cause	0.408	10	8	YES
wn:06892979n	bn:00068058n	n	rock_concert	concierto_de_rock	a performance of rock music	0.9	10	8	YES
wn:15224692n	bn:00064472n	n	prison_term, sentence, time	condena, tiempo_de_condena, tiempo	the period of time a prisoner is imprisoned	0.007	8	6	NO
wn:10299250n	bn:00030515n	n	master_of_ceremonies, emcee, host	conductor, maestra_de_ceremonias, maestro_de_ceremonias, presentador	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0.252	9	5	NO
wn:05929461n	bn:00072882n	n	soubrette	confidente, soprano_doubrette, soprano_soubrette, soubrette	a minor female role as a pert flirtatious lady's maid in a comedy	0.634	12	10	NO
wn:05126228n	bn:00021756n	n	confines	confines, confín	a bounded scope	0.5	9	7	NO
wn:07055295n	bn:00021796n	n	conga	conga, tumbadora, tambó	music composed for dancing the conga	0.752	2	6	YES
wn:08432149n	bn:00021798n	n	conga_line	conga_de_salón	a line of people in single file performing the conga dance	0.596	8	6	YES
wn:08246613n	bn:00056461n	n	musical_organization, musical_organisation, musical_group	conjunto_musical, ensemble, agrupación_musical	an organization of musicians who perform together	0.898	7	5	YES
wn:07294019n	bn:00001874n	n	consequence, aftermath	consecuencia, repercusión	the outcome of an event especially as relative to an individual	0.804	9	7	NO
wn:08188814n	bn:00018666n	n	choir, consort	consort_de_instrumentos, consort	a family of similar musical instrument playing together	0.779	7	5	YES
wn:11115131n	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	constant_lambert, lambert	English composer and conductor (1905-1951)	0.487	12	8	NO
wn:07492655n	bn:00022000n	n	consolation, solace, solacement	consuelo, solaz, consolación	the comfort you feel when consoled in times of disappointment	0.01	9	7	NO
wn:00419289a	bn:00101429a	a	dirty, soiled, unclean	contaminado, sucio	soiled or likely to soil with dirt or grime	0.8	99	99	YES
wn:00492310v	bn:00088514v	v	foul	contaminar, ensuciar	make unclean	1.0	99	99	NO
wn:03096439n	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	contra_fagot, contrafagot, contrabajón	the bassoon that is the largest instrument in the oboe family	0.765	17	13	YES
wn:02803934n	bn:00008922n	n	bass_fiddle, bass_viol, bull_fiddle, double_bass, contrabass, string_bass	contrabajista, contrabajo, doble_bajo, violón	largest and lowest member of the violin family	0.69	13	9	YES
wn:09961198n	bn:00022251n	n	contralto	contralto	a woman singer having a contralto voice	0.791	12	8	YES
wn:06872905n	bn:00003146n	n	contralto, alto	contralto,alto	the lowest female singing voice	1.0	5	5	YES
wn:01705841v	bn:00085885v	v	counterpoint	contrapuntear	write in counterpoint	1.0	99	99	YES
wn:09612580n	bn:00022252n	n	contrapuntist	contrapuntista	a composer who specializes in counterpoint	1.0	12	8	YES
wn:05126362n	bn:00022265n	n	contrast	contraste	the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)	0.167	9	7	NO
wn:09970295n	bn:00023225n	n	countertenor	contratenor	a male singer with a voice above that of a tenor	0.725	13	9	YES
wn:06872785n	bn:00003147n	n	countertenor, alto	contratenor	the highest adult male singing voice	0.5	5	5	YES
wn:13977732n	bn:00022403n	n	convulsion, turmoil, upheaval	convulsión	a violent disturbance	1.0	8	6	NO
wn:07063413n	bn:00022428n	n	cool_jazz	cool_jazz, cool	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0.784	4	7	YES
wn:02874282a	bn:00099649a	a	choral	coral	related to or written for or performed by a chorus or choir	0.8	99	99	YES
wn:08187837n	bn:00018782n	n	chorus	coral, coro	a group of people assembled to sing together	0.056	8	6	YES
wn:00135998r	bn:00114718r	r	chorally	coralmente	by a chorus	1.0	99	99	YES
wn:09920771n	bn:00018772n	n	chorister	corista	a singer in a choir	0.637	12	8	YES
wn:02775483n	bn:00007953n	n	bagpipe	cornamusa, gaita	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	0.289	14	10	YES
wn:09878179n	bn:00013716n	n	bugler	cornetista, corneta	someone who plays a bugle	0.333	12	8	YES
wn:07050177n	bn:00018783n	n	refrain, chorus	coro, estribillos, estribillo	the part of a song where a soloist is joined by a group of singers	0.66	1	5	YES
wn:07061334n	bn:00041147n	n	gospel, gospel_singing	coro_de_gospel, gospel, música_gospel	folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)	0.529	4	7	YES
wn:08187988n	bn:00018785n	n	chorus, Greek_chorus	coro_griego, coro	a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play	0.182	8	6	YES
wn:07060440n	bn:00014397n	n	country_music, country_and_western, C_and_W	country_and_western, country_music, country, música_country	a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments	0.76	4	7	YES
wn:00526663n	bn:00023277n	n	courante	courante	a court dance of the 16th century; consisted of short advances and retreats	0.663	10	8	YES
wn:04990525n	bn:00023748n	n	crescendo	crescendo	(music) a gradual increase in loudness	0.734	8	6	YES
wn:06693744n	bn:00066282n	n	rave	crítica_muy_favorable	an extravagantly enthusiastic review	0.0	7	7	NO
wn:10339856n	bn:00056447n	n	music_critic	crítico_musical	a critic of musical performances	0.486	11	7	YES
wn:00409750a	bn:00099662a	a	chromatic	cromático	based on a scale consisting of 12 semitones	0.667	99	99	YES
wn:04614844n	bn:00082041n	n	zill	crótalos, chinchines	one of a pair of small metallic cymbals worn on the thumb and middle finger; used in belly dancing in rhythm with the dance	0.382	14	10	YES
wn:07381864n	bn:00023631n	n	creak, creaking	crujido	a squeaking sound	1.0	9	7	YES
wn:07393500n	bn:00069901n	n	scrunch	crujido	a crunching noise	1.0	9	7	YES
wn:07392783n	bn:00068649n	n	rustle, rustling, whisper, whispering	crujido, murmullo, susurro, frufrú	a light noise, like the noise of silk clothing or leaves blowing in the wind	0.2	9	7	YES
wn:04030965n	bn:00065499n	n	quadraphony, quadraphonic_system, quadriphonic_system	cuadrafonía	a stereophonic sound recording or reproducing system using four separate channels	0.541	14	10	YES
wn:07056593n	bn:00065508n	n	quadrille	cuadrilla	music for dancing the quadrille	0.287	2	6	YES
wn:04987620n	bn:00065539n	n	timbre, timber, quality, tone	cualidad, timbre, tono	(music) the distinctive property of a complex sound (a voice or noise or musical sound)	0.484	7	5	YES
wn:07041688n	bn:00065610n	n	quartet, quartette	cuarteto	a musical composition for four performers	1.0	2	6	YES
wn:08247400n	bn:00008541n	n	barbershop_quartet	cuarteto de barbershop, barbershop	an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony	0.47	9	7	YES
wn:08247251n	bn:00065609n	n	quartet, quartette	cuarteto, cuarteto_de_música	four performers or singers who perform together	0.872	8	6	YES
wn:08247561n	bn:00074691n	n	string_quartet, string_quartette	cuarteto_de_cuerdas, cuarteto_de_cuerda	an instrumental quartet with 2 violins and a viola and a cello	0.809	9	7	YES
wn:06258541n	bn:00035595n	n	foldout, gatefold	cubierta_desplegable	an oversize page that is folded in to a book or magazine	0.929	12	9	NO
wn:03288742n	bn:00022546n	n	English_horn, cor_anglais	cuerno_inglés	a double-reed woodwind instrument similar to an oboe but lower in pitch	0.806	16	12	YES
wn:00048225n	bn:00005885n	n	arrival, reaching	cumplimiento, llegada, logro, obtención, consecución	accomplishment of an objective	0.828	9	7	NO
wn:10917554n	bn:00024405n	n	Cunningham, Merce_Cunningham	cunningham, merce_cunningham, mercier_philip_cunningham	United States dancer and choreographer (born in 1922)	0.22	10	6	NO
wn:06869271n	bn:00070284n	n	segno	dal_segno, segno	(music) a notation written at the beginning or end of a passage that is to be repeated	0.722	7	7	YES
wn:00542149n	bn:00025150n	n	danse_macabre, dance_of_death	danza_de_la_muerte, danza_macabra	a medieval dance in which a skeleton representing death leads a procession of others to the grave	0.235	11	9	YES
wn:07060976n	bn:00048066n	n	jazz	danza_jazz, jazz	a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands	0.322	2	6	YES
wn:01880560v	bn:00083276v	v	beat_out, tap_out, thump_out	dar_golpes, marcar_ritmo	beat out a rhythm	1.0	99	99	YES
wn:01415285v	bn:00091762v	v	punch, plug	dar_un_puñetazo	deliver a quick blow to	1.0	99	99	NO
wn:11179124n	bn:00025231n	n	Milhaud, Darius_Milhaud	darius_milhaud	French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)	0.409	12	8	NO
wn:04991225n	bn:00025785n	n	decrescendo, diminuendo	decrescendo, diminuendo	(music) a gradual decrease in loudness	0.737	8	6	YES
wn:11333601n	bn:00025809n	n	Taylor, Deems_Taylor, Joseph_Deems_Taylor	deems_taylor, joseph_deems_taylor, taylor	United States composer and music critic (1885-1966)	0.392	12	8	NO
wn:10929316n	bn:00026059n	n	Delius, Frederick_Delius	delius, frederick_delius, frederick_theodore_albert_delius	English composer of orchestral works (1862-1934)	0.47	12	8	NO
wn:07068631n	bn:00026702n	n	development	desarrollo_musical	(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	0.843	2	6	YES
wn:07215377n	bn:00032377n	n	exposure	descubrimiento, desvelamiento, revelación	the disclosure of something secret	1.0	9	7	NO
wn:07215568n	bn:00032368n	n	expose, unmasking	desenmascaramiento, exposé	the exposure of an impostor or a fraud	0.722	10	8	NO
wn:06857264n	bn:00072151n	n	swoop, slide	deslizamiento	(music) rapid sliding up or down the musical scale	1.0	3	7	YES
wn:14498567n	bn:00027191n	n	dinginess, dinge	deslucimiento	discoloration due to dirtiness	0.5	9	7	NO
wn:01713587v	bn:00083577v	v	blaze_away	deslumbrar, resplandecer	perform (an acting passage) brilliantly and rapidly	0.5	99	99	YES
wn:02426042a	bn:00106642a	a	messy, mussy	desordenado	dirty and disorderly	1.0	99	99	NO
wn:10018653n	bn:00027763n	n	distiller	destilador, licorista	someone who distills alcoholic liquors	0.25	11	7	NO
wn:00700708v	bn:00086715v	v	determine	determinar	fix in scope; fix the boundaries of	1.0	99	99	NO
wn:10933449n	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	diaghilev, diagilev, serge_diaghilev, sergei_diaghilev, sergei_diagilev, sergei_pavlovich_diaghilev, sergei_pavlovich_diaguilev, serguei_diaghilev, serguei_diaguilev, diágilev, sergei_diágilev, sergéi_diagilev, sergéi_diágilev, sergéi_diaghilev, serguéi_diáguilev, sergei_pavlovich_diáguilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0.35	14	10	NO
wn:03950647n	bn:00062651n	n	pitch_pipe	diapasón	a small pipe sounding a tone of standard frequency; used to establish the starting pitch for unaccompanied singing	0.621	14	10	YES
wn:06860323n	bn:00026903n	n	diatonic_scale	diatónica, escala_diatónica	a scale with eight notes in an octave; all but two are separated by whole tones	0.645	8	8	YES
wn:00409889a	bn:00101330a	a	diatonic	diatónico	based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals	1.0	99	99	YES
wn:07036546n	bn:00027001n	n	Dies_Irae	dies_irae, dies_iræ	the first words of a medieval Latin hymn describing the Last Judgment (literally `day of wrath')	0.522	5	8	YES
wn:11299030n	bn:00027958n	n	Shostakovich, Dmitri_Shostakovich, Dmitri_Dmitrievich_Shostakovich	dimitri_shostakovich, dimitri_shostakovitch, dmitri_dmitrievich_shostakovich, dmitri_shostakovich, dmitri_shostakovitch, schostakovich, shostakovich, shostakovitch, shostakóvich, shostakóvitch, dmitri_shostakóvich, dimitri_shostakóvich, dmitri_dmitrievich_shostakóvich, dmitri_dmitriévich_shostakovich, dmitri_dmitriévich_shostakóvich	Russian composer best known for his fifteen symphonies (1906-1975)	0.449	12	8	NO
wn:01133760n	bn:00021674n	n	conducting	dirección_de_orquesta, conducción_de_orquesta	the direction of an orchestra or choir	0.786	9	7	YES
