wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:07385660n	bn:00013385n	n	hubbub, uproar, brouhaha, katzenjammer	alboroto, barahunda, batahola, bullicio, gresca, grita, guachafita, guirigay, jaleo, rebullicio, tole, zurriburri, algarabía, greguería	loud confused noise from many sources	1.0	9	7	YES
wn:13977366n	bn:00021212n	n	disturbance, disruption, commotion, flutter, hurly_burly, to-do, hoo-ha, hoo-hah, kerfuffle	alboroto, barrila, bullicio, cacao, disturbio, movida, revoloteo, ruido, ruptura, sarao, tomate, trapisonda, trastorno, tumulto, lío, agitación, confusión, conmoción, perturbación	a disorderly outburst or tumult	0.8	7	5	YES
wn:06592421n	bn:00009907n	n	tribute_album, benefit_album	álbum_tributo, álbum_homenaje	concept album compiling a performer's work or work supporting some worthy cause	0.868	13	9	YES
wn:05125377n	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	alcance, esfera, marco, rango, ámbito, extensión	an area in which something acts or operates or has power or control: "the range of a supersonic jet"	0.681	8	6	NO
wn:07039949n	bn:00002826n	n	allegretto	alegreto	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro	0.767	2	6	YES
wn:15264891n	bn:00002825n	n	allegretto	alegreto, allegretto	a quicker tempo than andante but not as fast as allegro	1.0	8	6	YES
wn:15265021n	bn:00002827n	n	allegro	alegro, allegro	a brisk and lively tempo	1.0	8	6	YES
wn:10858333n	bn:00002571n	n	Borodin, Aleksandr_Borodin, Aleksandr_Porfirevich_Borodin	alejandro_borodin, aleksandr_borodin, aleksandr_porfirevich_borodin, aleksandr_porfirievich_borodin, alexander_borodin, alexandr_borodine, alexandr_borodin, alexandre_borodine, borodin, alexandr_borodín, alejandro_borodín, aleksandr_borodín, alexander_borodín, alexánder_borodín, aleksandr_porfírievich_borodín	Russian composer (1833-1887)	0.339	12	8	NO
wn:11289830n	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	aleksandr_nikolayevich_scriabin, aleksandr_scriabin, aleksandr_skriabin, alexander_nikolaievich_scriabin, alexander_scriabin, alexandr_nikolaievich_skriabin, alexandre_scriabine, scriabin, skryabin, alexandr_nikoláievich_skriabin, alexánder_nikoláievich_scriabin	Russian composer of orchestral and piano music (1872-1915)	0.516	12	8	NO
wn:06693655n	bn:00042676n	n	hallelujah	aleluya, hallelujah, congratulación	a shout or song of praise to God	0.188	10	8	YES
wn:11282434n	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	alfred_eric_leslie_satie, eric_satie, erik_alfred_satie, erik_satie, satie, eric_satié, érik_satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0.418	12	8	NO
wn:11242321n	bn:00002716n	n	Pons, Lily_Pons, Alice-Josephine_Pons	alice_josephine_pons, alice_pons, lily_pons, alice_joséphine_pons	United States coloratura soprano (born in France) (1904-1976)	0.488	14	10	NO
wn:06865049n	bn:00002805n	n	alla_breve	alla_breve	a musical time signature indicating two or four half notes to a measure	0.778	8	8	YES
wn:00982170a	bn:00096825a	a	allegretto	allegretto	(of tempo) faster than allegro	1.0	99	99	YES
wn:00270581r	bn:00114226r	r	allegretto	allegretto	in a moderately quick tempo	1.0	99	99	YES
wn:07039770n	bn:00002828n	n	allegro	allegro	a musical composition or musical passage to be performed quickly in a brisk lively manner	0.762	2	6	YES
wn:00982065a	bn:00096826a	a	allegro	allegro	(of tempo) fast	1.0	99	99	YES
wn:00270713r	bn:00114227r	r	allegro	allegro	in a quick and lively tempo	1.0	99	99	YES
wn:07239183n	bn:00002915n	n	allocution	alocución	(rhetoric) a formal or authoritative address that advises or exhorts	0.0	9	7	NO
wn:00022680a	bn:00104148a	a	high-fidelity, hi-fi	alta_fidelidad, hi-fi	characterized by minimal distortion in sound reproduction	1.0	99	99	NO
